1,Werkuha GETACHEW,07 DEC 1995,ETH,1457,3000mSC
2,Norah JERUTO,02 OCT 1995,KAZ,1438,3000mSC
3,Winfred Mutile YAVI,31 DEC 1999,BRN,1434,3000mSC
4,Mekides ABEBE,29 JAN 2001,ETH,1405,3000mSC
5,Jackline CHEPKOECH,03 OCT 2003,KEN,1364,3000mSC
6,Zerfe WONDEMAGEGN,26 OCT 2002,ETH,1362,3000mSC
7,Luiza GEGA,05 NOV 1988,ALB,1357,3000mSC
8,Faith CHEROTICH,13 JUL 2004,KEN,1344,3000mSC
9,Sembo ALMAYEW,24 JAN 2005,ETH,1339,3000mSC
10,Emma COBURN,19 OCT 1990,USA,1335,3000mSC
11,Elizabeth BIRD,04 OCT 1994,GBR,1328,3000mSC
12,Peruth CHEMUTAI,10 JUL 1999,UGA,1313,3000mSC
13,Alice FINOT,09 FEB 1991,FRA,1311,3000mSC
14,Courtney FRERICHS,18 JAN 1993,USA,1308,3000mSC
15,Aimee PRATT,03 OCT 1997,GBR,1296,3000mSC
16,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,1294,3000mSC
17,Courtney WAYMENT,04 AUG 1998,USA,1293,3000mSC
18,Marwa BOUZAYANI,26 MAR 1997,TUN,1290,3000mSC
19,Daisy JEPKEMEI,13 FEB 1996,KAZ,1288,3000mSC
20,Lea MEYER,16 SEP 1997,GER,1288,3000mSC
21,Chiara SCHERRER,24 JAN 1996,SUI,1284,3000mSC
22,Nataliya STREBKOVA,06 MAR 1995,UKR,1264,3000mSC
23,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,1243,3000mSC
24,Gabrielle JENNINGS,15 SEP 1998,USA,1241,3000mSC
25,Amy CASHIN,28 JUL 1994,AUS,1240,3000mSC
26,Katie RAINSBERGER,18 AUG 1998,USA,1235,3000mSC
27,Belén CASETTA,26 SEP 1994,ARG,1235,3000mSC
28,Yekaterina IVONINA,14 JUN 1994,RUS,1231,3000mSC
29,Olga VOVK,13 FEB 1993,RUS,1230,3000mSC
30,Caren CHEBET,24 MAY 2000,KEN,1228,3000mSC
31,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1220,3000mSC
32,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,1217,3000mSC
33,Brielle ERBACHER,28 FEB 1999,AUS,1217,3000mSC
34,Alicja KONIECZEK,02 NOV 1994,POL,1215,3000mSC
35,Regan YEE,04 JUL 1995,CAN,1214,3000mSC
36,Tuğba GÜVENÇ,09 JUL 1994,TUR,1213,3000mSC
37,Ceili MCCABE,17 SEP 2001,CAN,1209,3000mSC
38,Irene SÁNCHEZ-ESCRIBANO,25 AUG 1992,ESP,1207,3000mSC
39,Simone FERRAZ,12 MAR 1990,BRA,1205,3000mSC
40,Fancy CHERONO,02 AUG 2001,KEN,1202,3000mSC
41,Claudia PRISECARU,02 SEP 1997,ROU,1202,3000mSC
42,Carolina ROBLES,04 DEC 1991,ESP,1196,3000mSC
43,Cara FEAIN-RYAN,05 FEB 1999,AUS,1196,3000mSC
44,Adva COHEN,24 MAR 1996,ISR,1196,3000mSC
45,Elena BURKARD,10 FEB 1992,GER,1195,3000mSC
46,Ikram OUAAZIZ,06 JUL 1999,MAR,1195,3000mSC
47,Kinga KRÓLIK,26 SEP 1999,POL,1192,3000mSC
48,Grace FETHERSTONHAUGH,13 OCT 2000,CAN,1183,3000mSC
49,Flavie RENOUARD,10 SEP 2000,FRA,1182,3000mSC
50,Purity KIRUI,13 AUG 1991,KEN,1178,3000mSC
51,Carmen GRAVES,27 JAN 1991,USA,1178,3000mSC
52,Kayley DELAY,USA,1176,3000mSC,
53,Michelle FINN,16 DEC 1989,IRL,1175,3000mSC
54,Amina BETTICHE,14 DEC 1987,ALG,1175,3000mSC
55,Yuno YAMANAKA,25 DEC 2000,JPN,1174,3000mSC
56,Elise THORNER,16 MAR 2001,GBR,1173,3000mSC
57,Parul CHAUDHARY,15 APR 1995,IND,1172,3000mSC
58,Meseret YESHANEH,12 MAY 2005,ETH,1172,3000mSC
59,Carolina LOZANO,27 FEB 1996,ARG,1171,3000mSC
60,Annie RODENFELS,24 JUL 1996,USA,1170,3000mSC
61,Georgia WINKCUP,09 MAY 1997,AUS,1170,3000mSC
62,Patrycja KAPAŁA,26 MAR 1997,POL,1166,3000mSC [2000mSC]
63,Madie BOREMAN,10 JUL 1998,USA,1165,3000mSC
64,Emilia LILLEMO,05 JAN 2000,SWE,1165,3000mSC
65,Nilani RATHNAYAKA,08 AUG 1990,SRI,1164,3000mSC
66,Valerie CONSTIEN,21 MAR 1996,USA,1162,3000mSC
67,Stella RADFORD,25 JUN 1995,AUS,1162,3000mSC
68,Jessica FURLAN,15 MAR 1990,CAN,1159,3000mSC
69,Reimi YOSHIMURA,22 APR 2000,JPN,1158,3000mSC
70,Yuzu NISHIDE,25 JAN 2000,JPN,1157,3000mSC
71,Logan JOLLY,07 JUL 1998,USA,1157,3000mSC
72,Kaylee MITCHELL,USA,1153,3000mSC,
73,Blanca FERNÁNDEZ,01 APR 1992,ESP,1153,3000mSC
