1,Sydney MCLAUGHLIN,07 AUG 1999,USA,1490,400mH
2,Femke BOL,23 FEB 2000,NED,1478,400mH
3,Dalilah MUHAMMAD,07 FEB 1990,USA,1390,400mH
4,Rushell CLAYTON,18 OCT 1992,JAM,1383,400mH
5,Janieve RUSSELL,14 NOV 1993,JAM,1374,400mH
6,Gianna WOODRUFF,18 NOV 1993,PAN,1368,400mH
7,Anna RYZHYKOVA,24 NOV 1989,UKR,1343,400mH
8,Viktoriya TKACHUK,08 NOV 1994,UKR,1330,400mH
9,Britton WILSON,13 NOV 2000,USA,1327,400mH
10,Shiann SALMON,31 MAR 1999,JAM,1319,400mH
11,Ayomide FOLORUNSO,17 OCT 1996,ITA,1306,400mH
12,Shamier LITTLE,20 MAR 1995,USA,1294,400mH
13,Melissa GONZALEZ,24 JUN 1994,COL,1290,400mH
14,Jessie KNIGHT,15 JUN 1994,GBR,1284,400mH
15,Andrenette KNIGHT,19 NOV 1996,JAM,1277,400mH
16,Lina NIELSEN,13 MAR 1996,GBR,1277,400mH
17,Sara GALLEGO,11 OCT 2000,ESP,1277,400mH
18,Viivi LEHIKOINEN,27 AUG 1999,FIN,1275,400mH
19,Amalie IUEL,17 APR 1994,NOR,1273,400mH
20,Zenéy VAN DER WALT,22 MAY 2000,RSA,1266,400mH
21,Line KLOSTER,27 FEB 1990,NOR,1253,400mH
22,Sarah CARLI,05 SEP 1994,AUS,1238,400mH
23,Cassandra TATE,11 SEP 1990,USA,1235,400mH
24,Grace CLAXTON,19 AUG 1993,PUR,1228,400mH
25,Portia BING,17 APR 1993,NZL,1220,400mH
26,Carolina KRAFZIK,27 MAR 1995,GER,1219,400mH
27,Paulien COUCKUYT,19 MAY 1997,BEL,1216,400mH
28,Anna COCKRELL,28 AUG 1997,USA,1210,400mH
29,Daniela LEDECKÁ,04 NOV 1996,SVK,1210,400mH
30,Taylon BIELDT,04 NOV 1998,RSA,1207,400mH
31,Valeria CABEZAS CARACAS,16 JAN 2001,COL,1206,400mH
32,Hanne CLAES,04 AUG 1991,BEL,1203,400mH
33,Rebecca SARTORI,22 MAY 1997,ITA,1201,400mH
34,Camille SERI,01 MAY 1999,FRA,1200,400mH
35,Anna HALL,23 MAR 2001,USA,1194,400mH
36,Chayenne DA SILVA,05 FEB 2000,BRA,1190,400mH
37,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,1189,400mH
38,Janka MOLNÁR,05 JAN 2001,HUN,1186,400mH
39,Masai RUSSELL,17 JUN 2000,USA,1183,400mH
40,Linda OLIVIERI,14 JUL 1998,ITA,1181,400mH
41,Vera BARBOSA,13 JAN 1989,POR,1180,400mH
42,Wenda NEL,30 JUL 1988,RSA,1179,400mH
43,Noura ENNADI,05 APR 1999,MAR,1178,400mH
44,Tia-Adana BELLE,15 JUN 1996,BAR,1177,400mH
45,Lauren HOFFMAN,30 MAR 1999,USA,1176,400mH
46,Kristiina HALONEN,10 OCT 1997,FIN,1176,400mH
47,Hayley MCLEAN,09 SEP 1994,GBR,1174,400mH
48,Dimitra GNAFAKI,09 JUL 1997,GRE,1171,400mH
49,Agata ZUPIN,17 MAR 1998,SLO,1170,400mH
50,Yasmin GIGER,06 NOV 1999,SUI,1169,400mH
51,Annina FAHR,06 APR 1993,SUI,1166,400mH
52,Lena PRESSLER,15 JAN 2001,AUT,1166,400mH
53,Eileen DEMES,13 OCT 1997,GER,1165,400mH
54,Shannon MEISBERGER,27 JUL 1999,USA,1163,400mH
55,Jessica TURNER,08 AUG 1995,GBR,1163,400mH
56,Kaila BARBER,04 APR 1993,USA,1163,400mH
57,Eleonora MARCHIANDO,27 SEP 1997,ITA,1157,400mH
58,Ashley SPENCER,08 JUN 1993,USA,1157,400mH
59,Kimisha CHAMBERS,25 SEP 1996,JAM,1157,400mH
60,Carla GARCÍA,09 OCT 2001,ESP,1156,400mH
61,Liliane Cristina PARRELA,08 OCT 1987,BRA,1156,400mH
62,Cathelijn PEETERS,06 NOV 1996,NED,1155,400mH
63,Jessica TAPPIN,17 MAY 1990,GBR,1153,400mH
64,Nina HESPEL,30 JUL 2001,BEL,1151,400mH
65,Ramraj VITHYA,20 SEP 1998,IND,1151,400mH
66,Jiadie MO,06 JAN 2000,CHN,1149,400mH
67,Deshae WISE,1999,USA,1149,400mH
68,Noelle MONTCALM,03 APR 1988,CAN,1146,400mH
69,Nora Kollerød WOLD,21 JUN 1997,NOR,1146,400mH
70,Moa GRANAT,08 AUG 2004,SWE,1143,400mH
71,Jessica MOREIRA,16 NOV 2001,BRA,1142,400mH
72,Ami YAMAMOTO,19 APR 2002,JPN,1141,400mH
73,Eri UTSUNOMIYA,11 APR 1993,JPN,1141,400mH
74,Deonca BOOKMAN,29 OCT 1995,USA,1140,400mH
75,Marielle KLEEMEIER,14 MAY 1996,EST,1139,400mH
76,Aminat JAMAL,27 JUN 1997,BRN,1138,400mH
77,Annemarie NISSEN,08 JUL 1994,DEN,1138,400mH
78,Emiliya TANGARA,12 MAR 2002,RUS,1137,400mH
79,Alice MURARO,14 AUG 2000,ITA,1135,400mH
80,Aliaksandra KHILMANOVICH,14 DEC 1996,BLR,1134,400mH
81,Daniela ROJAS GUTIERREZ,26 NOV 1997,CRC,1133,400mH
82,Yanique HAYE-SMITH,22 MAR 1990,TKS,1133,400mH
83,Mariya TARABANSKAYA,20 FEB 2002,RUS,1130,400mH
84,Bianca STUBLER,01 JUN 1999,USA,1130,400mH
85,Satsuki UMEHARA,22 MAY 1994,JPN,1130,400mH
86,Katsiaryna BELANOVICH,14 OCT 1991,BLR,1129,400mH
87,Gisèle WENDER,25 APR 2001,GER,1129,400mH
88,Iryna BAULINA,04 JAN 1999,RUS,1126,400mH
89,Linda ANGOUNOU,23 SEP 1992,CMR,1126,400mH
90,Vanessa WATSON,28 OCT 2001,USA,1126,400mH
91,Robyn BROWN,27 JUL 1994,PHI,1126,400mH
92,Akala GARRETT,10 MAY 2005,USA,1125,400mH
93,Isabella GUTHRIE,21 SEP 2003,AUS,1125,400mH
94,Julia KORZUCH,27 DEC 1995,POL,1125,400mH
95,Minna SVÄRD,01 SEP 1998,SWE,1122,400mH
96,Gezelle MAGERMAN,21 APR 1997,RSA,1122,400mH
97,Kristina VERSHININA,20 APR 2000,RUS,1121,400mH
98,Marlen Elisabeth AAKRE JOHANSSON,17 SEP 1993,NOR,1117,400mH
99,Andrea ROOTH,06 MAR 2002,NOR,1116,400mH
100,Brodee MATE,14 APR 1998,AUS,1115,400mH
