1,Valarie ALLMAN,23 FEB 1995,USA,1446,Discus Throw
2,Sandra PERKOVIĆ,21 JUN 1990,CRO,1426,Discus Throw
3,Kristin PUDENZ,09 FEB 1993,GER,1303,Discus Throw
4,Claudine VITA,19 SEP 1996,GER,1286,Discus Throw
5,Jorinde VAN KLINKEN,02 FEB 2000,NED,1285,Discus Throw
6,Liliana CÁ,05 NOV 1986,POR,1279,Discus Throw
7,Yaimé PÉREZ,29 MAY 1991,CUB,1261,Discus Throw
8,Laulauga TAUSAGA,22 MAY 1998,USA,1254,Discus Throw
9,Shanice CRAFT,15 MAY 1993,GER,1245,Discus Throw
10,Marija TOLJ,29 NOV 1999,CRO,1238,Discus Throw
11,Izabela DA SILVA,02 AUG 1995,BRA,1207,Discus Throw
12,Rachel DINCOFF,24 DEC 1993,USA,1195,Discus Throw
13,Melina ROBERT-MICHON,18 JUL 1979,FRA,1185,Discus Throw
14,Jade LALLY,30 MAR 1987,GBR,1167,Discus Throw
15,Marike STEINACKER,03 APR 1992,GER,1164,Discus Throw
16,Chioma ONYEKWERE,28 JUN 1994,NGR,1157,Discus Throw
17,Daisy OSAKUE,16 JAN 1996,ITA,1153,Discus Throw
18,Karen GALLARDO,06 MAR 1984,CHI,1147,Discus Throw
19,Silinda Oneisi MORALES,30 AUG 2000,CUB,1144,Discus Throw
20,Lisa Brix PEDERSEN,16 AUG 1996,DEN,1143,Discus Throw
21,Shadae LAWRENCE,31 DEC 1995,JAM,1139,Discus Throw
22,Andressa DE MORAIS,21 DEC 1990,BRA,1133,Discus Throw
23,Fernanda MARTINS,26 JUL 1988,BRA,1131,Discus Throw
24,Yekaterina STROKOVA,17 DEC 1989,RUS,1123,Discus Throw
25,Chrysoula ANAGNOSTOPOULOU,27 AUG 1991,GRE,1118,Discus Throw
26,Julia HARTING,01 APR 1990,GER,1114,Discus Throw
27,Alexandra EMILIANOV,19 SEP 1999,MDA,1108,Discus Throw
28,Veronica FRALEY,27 MAY 2000,USA,1106,Discus Throw
29,Ieva ZARANKAITĖ,23 NOV 1994,LTU,1103,Discus Throw
30,Daria ZABAWSKA,16 APR 1995,POL,1095,Discus Throw
31,Taryn GOLLSHEWSKY,18 MAY 1993,AUS,1094,Discus Throw
32,Irina RODRIGUES,05 FEB 1991,POR,1094,Discus Throw
33,Salla SIPPONEN,13 MAR 1995,FIN,1093,Discus Throw
34,Violetta IGNATYEVA,16 JAN 2002,RUS,1087,Discus Throw
35,Vanessa KAMGA,19 NOV 1998,SWE,1083,Discus Throw
36,Samantha HALL,19 APR 1993,JAM,1081,Discus Throw
37,Trinity TUTTI,03 MAY 2000,CAN,1080,Discus Throw
38,Dragana TOMAŠEVIĆ,04 JUN 1982,SRB,1076,Discus Throw
39,Nadine MÜLLER,21 NOV 1985,GER,1075,Discus Throw
40,Özlem BECEREK,22 APR 2002,TUR,1075,Discus Throw
41,Nanaka KORI,02 MAY 1997,JPN,1072,Discus Throw
42,Kirsty LAW,11 OCT 1986,GBR,1072,Discus Throw
43,Karolina URBAN,20 OCT 1998,POL,1071,Discus Throw
44,Obiageri Pamela AMAECHI,12 MAR 1999,NGR,1070,Discus Throw
45,Yuliya MALTSEVA,30 NOV 1990,RUS,1070,Discus Throw
46,Antonia KINZEL,07 SEP 2000,GER,1056,Discus Throw
47,Stefania STRUMILLO,14 OCT 1989,ITA,1056,Discus Throw
