1,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1475,High Jump [High Jump ind.]
2,Eleanor PATTERSON,22 MAY 1996,AUS,1403,High Jump [High Jump ind.]
3,Iryna GERASHCHENKO,10 MAR 1995,UKR,1365,High Jump
4,Nicola OLYSLAGERS,28 DEC 1996,AUS,1339,High Jump
5,Elena VALLORTIGARA,21 SEP 1991,ITA,1325,High Jump [High Jump ind.]
6,Nadezhda DUBOVITSKAYA,12 MAR 1998,KAZ,1321,High Jump [High Jump ind.]
7,Safina SADULLAYEVA,04 MAR 1998,UZB,1306,High Jump [High Jump ind.]
8,Vashti CUNNINGHAM,18 JAN 1998,USA,1292,High Jump [High Jump ind.]
9,Marija VUKOVIĆ,21 JAN 1992,MNE,1287,High Jump [High Jump ind.]
10,Yuliya LEVCHENKO,28 NOV 1997,UKR,1271,High Jump
11,Lamara DISTIN,03 MAR 2000,JAM,1257,High Jump
12,Karmen BRUUS,24 JAN 2005,EST,1242,High Jump [High Jump ind.]
13,Mariya LASITSKENE,14 JAN 1993,ANA,1239,High Jump [High Jump ind.]
14,Kateryna TABASHNYK,15 JUN 1994,UKR,1236,High Jump
15,Daniela STANCIU,15 OCT 1987,ROU,1236,High Jump [High Jump ind.]
16,Angelina TOPIĆ,26 JUL 2005,SRB,1229,High Jump [High Jump ind.]
17,Kimberly WILLIAMSON,02 OCT 1993,JAM,1228,High Jump
18,Lia APOSTOLOVSKI,23 JUN 2000,SLO,1211,High Jump [High Jump ind.]
19,Morgan LAKE,12 MAY 1997,GBR,1207,High Jump
20,Ella JUNNILA,06 DEC 1998,FIN,1197,High Jump [High Jump ind.]
21,Maja NILSSON,08 DEC 1999,SWE,1193,High Jump
22,Laura ZIALOR,04 AUG 1998,GBR,1191,High Jump [High Jump ind.]
23,Britt WEERMAN,13 JUN 2003,NED,1191,High Jump [High Jump ind.]
24,Rachel MCCOY,01 AUG 1995,USA,1191,High Jump
25,Mirela DEMIREVA,28 SEP 1989,BUL,1186,High Jump [High Jump ind.]
26,Emily BORTHWICK,02 SEP 1997,GBR,1183,High Jump [High Jump ind.]
27,Tatiana GUSIN,26 JAN 1994,GRE,1176,High Jump
28,Kristina OVCHINNIKOVA,21 MAR 2001,KAZ,1171,High Jump [High Jump ind.]
29,Rachel GLENN,17 APR 2002,USA,1166,High Jump
30,Oksana OKUNEVA,14 MAR 1990,UKR,1164,High Jump
31,Urtė BAIKŠTYTĖ,08 MAY 1999,LTU,1164,High Jump [High Jump ind.]
32,Valdileia MARTINS,19 SEP 1989,BRA,1163,High Jump
33,Keeley O'HAGAN,11 MAR 1994,NZL,1158,High Jump
34,Yuliya CHUMACHENKO,02 OCT 1994,UKR,1157,High Jump [High Jump ind.]
35,Abigail KWARTENG,13 JAN 1997,GHA,1154,High Jump
36,Sini LÄLLÄ,12 MAR 1994,FIN,1149,High Jump [High Jump ind.]
37,Heta TUURI,14 JAN 1995,FIN,1149,High Jump [High Jump ind.]
38,Jennifer RODRIGUEZ,18 NOV 1999,COL,1146,High Jump [High Jump ind.]
39,Marie-Laurence JUNGFLEISCH,07 OCT 1990,GER,1146,High Jump [High Jump ind.]
40,Jelena ROWE,01 AUG 1999,USA,1145,High Jump [High Jump ind.]
41,Solène GICQUEL,01 DEC 1994,FRA,1144,High Jump [High Jump ind.]
42,Mariya KOCHANOVA,30 MAY 2002,ANA,1142,High Jump [High Jump ind.]
43,Imke ONNEN,17 AUG 1994,GER,1139,High Jump [High Jump ind.]
44,Natalya SPIRIDONOVA,31 JUL 2002,ANA,1138,High Jump [High Jump ind.]
45,Tyra GITTENS,06 JUN 1998,TTO,1138,High Jump [High Jump ind.]
46,Marysabel SENYU,31 AUG 1999,DOM,1138,High Jump
47,Tatyana YERMACHENKOVA,09 SEP 1998,RUS,1137,High Jump
48,Bianca STICHLING,04 MAR 2000,GER,1136,High Jump [High Jump ind.]
49,Inika MCPHERSON,29 SEP 1986,USA,1132,High Jump [High Jump ind.]
50,Aleksandra YARYSHKINA,10 JUN 1994,RUS,1131,High Jump [High Jump ind.]
51,Kristina KOROLYOVA,06 NOV 1990,ANA,1129,High Jump [High Jump ind.]
52,Nadezhda ANDRYUKHINA,03 JUL 2001,RUS,1125,High Jump [High Jump ind.]
53,Wiktoria MIĄSO,14 NOV 2001,POL,1123,High Jump
54,Erika FURLANI,02 JAN 1996,ITA,1122,High Jump [High Jump ind.]
55,Michaela HRUBÁ,21 FEB 1998,CZE,1120,High Jump [High Jump ind.]
56,Marta MORARA,26 DEC 1999,ITA,1120,High Jump
57,Eleftheria CHRISTOGEORGOU,19 AUG 1998,GRE,1119,High Jump [High Jump ind.]
58,Barbara SZABÓ,17 FEB 1990,HUN,1119,High Jump
59,Elisabeth PIHELA,15 MAR 2004,EST,1118,High Jump [High Jump ind.]
60,Adrianna SUŁEK,03 APR 1999,POL,1116,High Jump [High Jump ind.]
61,Buse SAVAŞKAN,24 FEB 1999,TUR,1114,High Jump [High Jump ind.]
62,Johanna GÖRING,06 APR 2005,GER,1114,High Jump [High Jump ind.]
63,Lucy CORBETT,USA,1109,High Jump [High Jump ind.],
64,Erin SHAW,07 SEP 2004,AUS,1108,High Jump
65,Amina SMITH,29 AUG 1992,USA,1104,High Jump [High Jump ind.]
66,Darya SLEPOVA,10 APR 2000,RUS,1103,High Jump [High Jump ind.]
67,Sidney SAPP,USA,1101,High Jump [High Jump ind.],
68,Despoina MALTAMPE,25 JUN 1999,GRE,1099,High Jump [High Jump ind.]
69,Rhizlane SIBA,29 FEB 1996,MAR,1097,High Jump
70,Aleksandra SHARKAYEVA,01 DEC 1998,UZB,1095,High Jump [High Jump ind.]
71,Nyagoa BAYAK,USA,1095,High Jump [High Jump ind.],
72,Jenna ROGERS,18 APR 2002,USA,1094,High Jump [High Jump ind.]
73,Airinė PALŠYTĖ,13 JUL 1992,LTU,1093,High Jump
74,Sarah Suelen FERNANDES FREITAS,23 APR 1998,BRA,1093,High Jump [High Jump ind.]
75,Hanna HARADSKAYA,31 JAN 1993,BLR,1092,High Jump
76,Merel MAES,22 JAN 2005,BEL,1091,High Jump
77,Marithe-Thérèse ENGONDO,11 MAY 2002,SUI,1090,High Jump [High Jump ind.]
78,Glenka ANTONIA,04 SEP 1999,NED,1087,High Jump [High Jump ind.]
79,Tihana JELETIĆ,28 MAR 1996,CRO,1086,High Jump [High Jump ind.]
80,Idea PIERONI,18 SEP 2002,ITA,1085,High Jump [High Jump ind.]
81,Rylee ANDERSON,05 NOV 1995,USA,1085,High Jump [High Jump ind.]
82,Sanaa BARNES,10 AUG 2000,USA,1085,High Jump
83,Una STANCEV,27 AUG 2002,ESP,1084,High Jump [High Jump ind.]
84,Emily WHELAN,10 JAN 2000,AUS,1084,High Jump
85,Temitope Simbiat ADESHINA,11 NOV 1998,NGR,1082,High Jump
86,Lea HALMANS,05 FEB 1999,GER,1082,High Jump [High Jump ind.]
87,Nagisa TAKAHASHI,15 JAN 2000,JPN,1082,High Jump [High Jump ind.]
88,Marguerite LORENZO,1999,CAN,1082,High Jump
89,Asia TAVERNINI,18 SEP 2001,ITA,1081,High Jump [High Jump ind.]
90,Barbara BITCHOKA,1996,CAN,1081,High Jump
91,Zorana ROKAVEC,30 DEC 2004,SRB,1081,High Jump [High Jump ind.]
92,Polina PARFENENKO,14 MAR 2003,RUS,1080,High Jump [High Jump ind.]
93,Fédra FEKETE,04 APR 1998,HUN,1079,High Jump [High Jump ind.]
94,Yelena KULICHENKO,28 JUL 2002,CYP,1079,High Jump [High Jump ind.]
95,Zita GOOSSENS,28 JUN 2000,BEL,1078,High Jump
96,Charity GRIFFITH,USA,1076,High Jump [High Jump ind.],
97,Imogen SKELTON,15 OCT 2000,NZL,1075,High Jump
98,Matilda NILSSON,05 OCT 1993,SWE,1074,High Jump [High Jump ind.]
99,Jiawen LU,19 AUG 2002,CHN,1073,High Jump
100,Gracena GLISTUS MERY,23 MAY 2000,IND,1073,High Jump
