1,Kara WINGER,10 APR 1986,USA,1378,Javelin Throw
2,Kelsey-Lee BARBER,20 SEP 1991,AUS,1362,Javelin Throw
3,Haruka KITAGUCHI,16 MAR 1998,JPN,1353,Javelin Throw
4,Mackenzie LITTLE,22 DEC 1996,AUS,1290,Javelin Throw
5,Elina TZENGKO,02 SEP 2002,GRE,1268,Javelin Throw
6,Līna MŪZE,04 DEC 1992,LAT,1262,Javelin Throw
7,Liveta JASIŪNAITĖ,26 JUL 1994,LTU,1228,Javelin Throw
8,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1225,Javelin Throw
9,Adriana VILAGOŠ,02 JAN 2004,SRB,1223,Javelin Throw
10,Elizabeth GLEADLE,05 DEC 1988,CAN,1207,Javelin Throw
11,Annu RANI,29 AUG 1992,IND,1206,Javelin Throw
12,Nikola OGRODNÍKOVÁ,18 AUG 1990,CZE,1205,Javelin Throw
13,Tatsiana KHALADOVICH,21 JUN 1991,BLR,1200,Javelin Throw
14,Yulenmis AGUILAR,03 AUG 1996,CUB,1184,Javelin Throw
15,Tori PEETERS,17 MAY 1994,NZL,1177,Javelin Throw
16,Flor Denis RUIZ HURTADO,29 JAN 1991,COL,1175,Javelin Throw
17,Christin HUSSONG,17 MAR 1994,GER,1167,Javelin Throw
18,Ariana INCE,14 MAR 1989,USA,1166,Javelin Throw
19,Juleisy ANGULO,02 JAN 2001,ECU,1162,Javelin Throw
20,Jo-Ane VAN DYK,03 OCT 1997,RSA,1157,Javelin Throw
21,Sara KOLAK,22 JUN 1995,CRO,1151,Javelin Throw
22,Jucilene Sales DE LIMA,14 SEP 1990,BRA,1147,Javelin Throw
23,Réka SZILÁGYI,19 JAN 1996,HUN,1145,Javelin Throw
24,Sae TAKEMOTO,23 NOV 1999,JPN,1142,Javelin Throw
25,Vera MARKARYAN,25 FEB 1989,RUS,1139,Javelin Throw
26,Victoria HUDSON,28 MAY 1996,AUT,1138,Javelin Throw
27,Coralys ORTIZ,16 APR 1985,PUR,1136,Javelin Throw
28,Momone UEDA,27 JUN 1999,JPN,1128,Javelin Throw
29,Annika Marie FUCHS,29 APR 1997,GER,1127,Javelin Throw
30,Nikol TABAČKOVÁ,24 JAN 1998,CZE,1124,Javelin Throw
31,Marina SAITO,15 OCT 1995,JPN,1109,Javelin Throw
32,Martina RATEJ,02 NOV 1981,SLO,1105,Javelin Throw
33,Madara PALAMEIKA,18 JUN 1987,LAT,1100,Javelin Throw
