1,Gotytom GEBRESLASE,15 JAN 1995,ETH,1462,Marathon
2,Ruth CHEPNGETICH,08 AUG 1994,KEN,1447,Marathon
3,Judith Jeptum KORIR,12 DEC 1995,KEN,1408,Marathon
4,Joyciline JEPKOSGEI,08 DEC 1993,KEN,1405,Marathon
5,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1400,Marathon
6,Brigid KOSGEI,20 FEB 1994,KEN,1395,Marathon
7,Angela TANUI,27 JUL 1992,KEN,1389,Marathon
8,Ashete BEKERE,17 APR 1988,ETH,1375,Marathon
9,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1375,Marathon
10,Joan Chelimo MELLY,10 NOV 1990,ROU,1373,Marathon
11,Letesenbet GIDEY,20 MAR 1998,ETH,1353,Marathon [Half Marathon]
12,Amane Beriso SHANKULE,13 OCT 1991,ETH,1350,Marathon
13,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1348,Marathon [Half Marathon]
14,Nazret WELDU,01 JAN 1990,ERI,1343,Marathon
15,Alemu MEGERTU,12 OCT 1997,ETH,1339,Marathon
16,Hiwot GEBREKIDAN,11 MAY 1995,ETH,1338,Marathon
17,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1331,Marathon
18,Emma BATES,08 JUL 1992,USA,1327,Marathon
19,Ababel YESHANEH,22 JUL 1991,ETH,1326,Marathon
20,Maurine CHEPKEMOI,24 MAY 1998,KEN,1325,Marathon
21,Etagegne WOLDU,10 MAY 1996,ETH,1324,Marathon
22,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,1322,Marathon
23,Sara HALL,15 APR 1983,USA,1320,Marathon
24,Nancy JELAGAT,1986,KEN,1317,Marathon [Half Marathon]
25,Keira D'AMATO,21 OCT 1984,USA,1317,Marathon
26,Tigist ASSEFA,03 DEC 1996,ETH,1315,Marathon [Half Marathon]
27,Haven Hailu DESSE,10 SEP 1998,ETH,1314,Marathon
28,Sheila CHEPKIRUI,27 DEC 1990,KEN,1311,Marathon [Half Marathon]
29,Almaz AYANA,21 NOV 1991,ETH,1310,Marathon [Half Marathon]
30,Mary Wacera NGUGI,17 DEC 1988,KEN,1304,Marathon
31,Tsehay GEMECHU,12 DEC 1998,ETH,1300,Marathon [Half Marathon]
32,Degitu AZIMERAW,24 JAN 1999,ETH,1299,Marathon
33,Violah CHEPTOO,01 MAR 1989,KEN,1298,Marathon
34,Tadu TESHOME,09 JUN 2001,ETH,1297,Marathon
35,Fancy CHEMUTAI,20 MAR 1995,KEN,1297,Marathon
36,Sisay Meseret GOLA,30 DEC 1997,ETH,1296,Marathon
37,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,1294,Marathon
38,Vivian KIPLAGAT,09 NOV 1991,KEN,1289,Marathon
39,Workenesh EDESA,11 SEP 1992,ETH,1284,Marathon
40,Mizuki MATSUDA,31 MAY 1995,JPN,1284,Marathon
41,Rosemary WANJIRU,09 DEC 1994,KEN,1282,Marathon [Half Marathon]
42,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,1280,Marathon
43,Tigist GIRMA,12 JUL 1993,ETH,1280,Marathon
44,Helen BEKELE,21 NOV 1994,ETH,1274,Marathon
45,Ai HOSODA,27 NOV 1995,JPN,1274,Marathon
46,Sharon LOKEDI,10 MAR 1994,KEN,1267,Marathon [Half Marathon]
47,Monicah WANJUHI,07 NOV 1993,KEN,1267,Marathon
48,Gebeyanesh AYELE,01 MAY 1995,ETH,1265,Marathon
49,Tigist ABAYECHEW,22 FEB 1994,ETH,1263,Marathon
50,Tiruye MESFIN,11 SEP 2002,ETH,1262,Marathon [Half Marathon]
51,Mare DIBABA,20 OCT 1989,ETH,1259,Marathon
52,Rahma TUSA,14 SEP 1993,ETH,1253,Marathon
53,Hellen OBIRI,13 DEC 1989,KEN,1252,Marathon [Half Marathon]
54,Nienke BRINKMAN,28 OCT 1993,NED,1249,Marathon
55,Sentayehu LEWETEGN,09 MAY 1996,ETH,1248,Marathon
56,Meseret DINKE,22 SEP 1996,ETH,1248,Marathon
57,Waganesh MEKASHA,16 JAN 1992,ETH,1246,Marathon
58,Yuka ANDO,16 MAR 1994,JPN,1245,Marathon [Half Marathon]
59,Ayantu KUMELA,14 MAY 1996,ETH,1245,Marathon
60,Siranesh YIRGA,11 SEP 2000,ETH,1244,Marathon
61,Beyenu DEGEFA,12 JUL 1999,ETH,1243,Marathon
62,Adanech ANBESA,23 JAN 1998,ETH,1243,Marathon
63,Valary JEMELI,08 JUN 1991,KEN,1241,Marathon [Half Marathon]
64,Fantu JIMMA,11 SEP 1987,ETH,1241,Marathon
65,Ruth CHEBITOK,26 DEC 1990,KEN,1241,Marathon
66,Bekelech GUDETA,11 OCT 1997,ETH,1239,Marathon [Half Marathon]
67,Jackline CHEPNGENO,16 JAN 1993,KEN,1239,Marathon
68,Alemtsehay ASEFA,11 SEP 1998,ETH,1239,Marathon
69,Vibian CHEPKURUI,05 JUN 1994,KEN,1238,Marathon
70,Gutemi Shone IMANA,17 NOV 1991,ETH,1235,Marathon
71,Meseret GEBRE,17 FEB 1993,ETH,1233,Marathon
72,Sheila JEROTICH,06 JUN 1989,KEN,1233,Marathon
73,Sayaka SATO,27 MAY 1994,JPN,1233,Marathon
74,Majida MAAYOUF,27 APR 1989,MAR,1232,Marathon
75,Zeineba YIMER,17 JUN 1998,ETH,1231,Marathon [25 km Road]
76,Fionnuala MCCORMACK,24 SEP 1984,IRL,1228,Marathon
77,Yeshi Kalayu CHEKOLE,12 JUL 1997,ETH,1228,Marathon
78,Agnes KEINO,17 JAN 1988,KEN,1227,Marathon
79,Rika KASEDA,02 MAR 1999,JPN,1226,Marathon
80,Helalia JOHANNES,13 AUG 1980,NAM,1226,Marathon
81,Shure DEMISE,21 JAN 1996,ETH,1225,Marathon
82,Yenenesh TILAHUN DINKESA,22 SEP 1994,ETH,1225,Marathon
83,Antonina KWAMBAI,01 APR 1992,KEN,1223,Marathon
84,Helah Jelagat KIPROP,07 APR 1985,KEN,1223,Marathon
85,Netsanet GUDETA,12 FEB 1991,ETH,1223,Marathon
86,Selly Chepyego KAPTICH,03 OCT 1985,KEN,1220,Marathon
87,Charlotte PURDUE,10 JUN 1991,GBR,1218,Marathon
88,Jess PIASECKI,18 APR 1990,GBR,1217,Marathon
89,Jessica STENSON,15 AUG 1987,AUS,1215,Marathon
90,Sechale DALASA,20 SEP 1991,ETH,1212,Marathon
91,Zenebu FIKADU,14 SEP 1999,ETH,1212,Marathon [Half Marathon]
92,Eloise WELLINGS,09 NOV 1982,AUS,1210,Marathon
93,Susanna SULLIVAN,13 MAY 1990,USA,1209,Marathon
94,Gelete BURKA,23 JAN 1986,ETH,1209,Marathon
95,Janet RUGURU,1993,KEN,1209,Marathon
96,Rose CHELIMO,12 JUL 1989,BRN,1208,Marathon [Half Marathon]
97,Besu SADO,12 JAN 1996,ETH,1208,Marathon [Half Marathon]
98,Sinead DIVER,17 FEB 1977,AUS,1208,Marathon
99,Giovanna EPIS,11 OCT 1988,ITA,1208,Marathon
100,Hitomi NIIYA,26 FEB 1988,JPN,1205,Marathon [Half Marathon]
