1,Sandi MORRIS,08 JUL 1992,USA,1428,Pole Vault [Pole Vault ind.]
2,Nina KENNEDY,05 APR 1997,AUS,1396,Pole Vault
3,Tina ŠUTEJ,07 NOV 1988,SLO,1362,Pole Vault [Pole Vault ind.]
4,Katie MOON,13 JUN 1991,USA,1354,Pole Vault [Pole Vault ind.]
5,Aikaterini STEFANIDI,04 FEB 1990,GRE,1333,Pole Vault
6,Wilma MURTO,11 JUN 1998,FIN,1319,Pole Vault [Pole Vault ind.]
7,Anzhelika SIDOROVA,28 JUN 1991,ANA,1300,Pole Vault [Pole Vault ind.]
8,Roberta BRUNI,08 MAR 1994,ITA,1291,Pole Vault
9,Angelica MOSER,09 OCT 1997,SUI,1272,Pole Vault [Pole Vault ind.]
10,Olivia MCTAGGART,09 JAN 2000,NZL,1244,Pole Vault [Pole Vault ind.]
11,Holly BRADSHAW,02 NOV 1991,GBR,1226,Pole Vault
12,Polina KNOROZ,20 JUL 1999,ANA,1222,Pole Vault [Pole Vault ind.]
13,Emily GROVE,22 MAY 1993,USA,1217,Pole Vault [Pole Vault ind.]
14,Bridget WILLIAMS,18 MAR 1996,USA,1214,Pole Vault [Pole Vault ind.]
15,Lene Onsrud RETZIUS,04 JAN 1996,NOR,1211,Pole Vault
16,Margot CHEVRIER,21 DEC 1999,FRA,1207,Pole Vault [Pole Vault ind.]
17,Huiqin XU,04 SEP 1993,CHN,1206,Pole Vault [Pole Vault ind.]
18,Alina MCDONALD,26 AUG 1997,USA,1201,Pole Vault [Pole Vault ind.]
19,Olivia GRUVER,29 JUL 1997,USA,1198,Pole Vault
20,Molly CAUDERY,17 MAR 2000,GBR,1197,Pole Vault
21,Amálie ŠVÁBÍKOVÁ,22 NOV 1999,CZE,1195,Pole Vault [Pole Vault ind.]
22,Ninon CHAPELLE,15 APR 1995,FRA,1195,Pole Vault [Pole Vault ind.]
23,Rachel BAXTER,05 APR 1999,USA,1191,Pole Vault [Pole Vault ind.]
24,Caroline Bonde HOLM,19 JUL 1990,DEN,1191,Pole Vault
25,Gabriela LEON,17 JUN 1999,USA,1186,Pole Vault
26,Alysha NEWMAN,29 JUN 1994,CAN,1176,Pole Vault
27,Kristen LELAND,01 JUL 1992,USA,1175,Pole Vault
28,Elisa MOLINAROLO,29 JAN 1994,ITA,1172,Pole Vault [Pole Vault ind.]
29,Marie-Julie BONNIN,17 DEC 2001,FRA,1171,Pole Vault
30,Jacqueline OTCHERE,05 MAY 1996,GER,1171,Pole Vault
31,Yana HLADIYCHUK,21 MAY 1993,UKR,1170,Pole Vault [Pole Vault ind.]
32,Anjuli KNÄSCHE,18 OCT 1993,GER,1170,Pole Vault
33,Anicka NEWELL,05 AUG 1993,CAN,1167,Pole Vault
34,Sophie COOK,12 SEP 1994,GBR,1162,Pole Vault [Pole Vault ind.]
35,Maryna KYLYPKO,10 NOV 1995,UKR,1158,Pole Vault [Pole Vault ind.]
36,Lisa GUNNARSSON,20 AUG 1999,SWE,1158,Pole Vault
37,Imogen AYRIS,12 DEC 2000,NZL,1156,Pole Vault
38,Hanga KLEKNER,24 SEP 1999,HUN,1152,Pole Vault
39,Elina LAMPELA,18 FEB 1998,FIN,1146,Pole Vault
40,Chunge NIU,14 FEB 2000,CHN,1145,Pole Vault
41,Kristen BROWN,16 MAY 1992,USA,1141,Pole Vault [Pole Vault ind.]
