1,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1305,20km Walk [10km Walk]
2,Shijie QIEYANG,11 NOV 1990,CHN,1302,20km Walk [10km Walk]
3,Jemima MONTAG,15 FEB 1998,AUS,1302,"20km Walk [10,000m Walk]"
4,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,1284,20km Walk
5,Valentina TRAPLETTI,12 JUL 1985,ITA,1224,20km Walk
6,Zhenxia MA,01 AUG 1998,CHN,1219,20km Walk
7,Glenda MOREJÓN,30 MAY 2000,ECU,1215,20km Walk
8,Nanako FUJII,07 MAY 1999,JPN,1210,20km Walk
9,Alegna GONZÁLEZ,02 JAN 1999,MEX,1209,20km Walk
10,Saskia FEIGE,13 AUG 1997,GER,1193,20km Walk
11,Laura GARCÍA-CARO,16 APR 1995,ESP,1187,"20km Walk [10,000m Walk]"
12,Ana CABECINHA,29 APR 1984,POR,1186,"20km Walk [10,000m Walk]"
13,Olena SOBCHUK,23 NOV 1995,UKR,1149,20km Walk
14,Kumiko OKADA,17 OCT 1991,JPN,1149,20km Walk
15,Rebecca HENDERSON,04 JUL 2001,AUS,1143,"20km Walk [10,000m Walk]"
16,Viviane LYRA,29 JUL 1993,BRA,1139,20km Walk
17,Johana ORDÓŇEZ,12 DEC 1987,ECU,1138,20km Walk [10km Walk]
18,Eliška MARTÍNKOVÁ,27 JAN 2002,CZE,1131,"20km Walk [10,000m Walk]"
19,Camille MOUTARD,11 JUL 2001,FRA,1129,20km Walk
20,Clémence BERETTA,22 DEC 1997,FRA,1126,20km Walk
21,Emily Wamusyi NGII,13 AUG 1986,KEN,1121,"20km Walk [10,000m Walk]"
22,Sofia RAMOS RODRÍGUEZ,25 AUG 2002,MEX,1112,"20km Walk [10,000m Walk]"
23,Lidia SANCHEZ-PUEBLA,17 JUL 1996,ESP,1105,"20km Walk [10,000m Walk]"
24,Antia CHAMOSA,07 OCT 1999,ESP,1086,"20km Walk [10,000m Walk]"
25,Enni NURMI,04 JUL 1998,FIN,1085,20km Walk [5000m Walk]
26,Heather WARNER,25 OCT 1993,GBR,1078,"20km Walk [10,000m Walk]"
27,Noelia VARGAS,17 APR 2000,CRC,1077,20km Walk
28,Maidy MONGE,12 SEP 2000,GUA,1076,"20,000m Walk,20km Walk"
29,Eloise TERREC,10 AUG 1998,FRA,1076,20km Walk
30,Meryem BEKMEZ,31 JUL 2000,TUR,1073,20km Walk
31,Evelyn INGA,16 APR 1998,PER,1072,"20km Walk [10,000m Walk]"
32,Carolina COSTA,12 MAR 1998,POR,1069,"20km Walk [10,000m Walk]"
33,Rachelle DE ORBETA,27 MAR 2000,PUR,1066,"20,000m Walk,20km Walk"
34,Inês HENRIQUES,01 MAY 1980,POR,1065,"20km Walk [10,000m Walk]"
35,Bethan DAVIES,07 NOV 1990,GBR,1064,"20km Walk [10,000m Walk]"
36,Cristina MONTESINOS,12 JUL 1994,ESP,1063,"20km Walk [10,000m Walk]"
37,Katie HAYWARD,23 JUL 2000,AUS,1060,"20km Walk [10,000m Walk]"
38,. PRIYANKA,10 MAR 1996,IND,1059,"20km Walk [10,000m Walk]"
39,Robyn STEVENS,24 APR 1983,USA,1058,"20,000m Walk,20km Walk"
40,Karla JARAMILLO,21 JAN 1997,ECU,1058,"20km Walk [10,000m Walk]"
