1,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1314,"10 km Road,Half Marathon"
2,Hellen OBIRI,13 DEC 1989,KEN,1279,"10 km Road,Half Marathon"
3,Sheila CHEPKIRUI,27 DEC 1990,KEN,1275,"10 km Road,Half Marathon"
4,Tsehay GEMECHU,12 DEC 1998,ETH,1265,Half Marathon
5,Kalkidan GEZAHEGNE,08 MAY 1991,BRN,1264,"10 km Road,Half Marathon"
6,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,1262,"10 km Road,Half Marathon [5 km Road]"
7,Irine Chepet CHEPTAI,04 FEB 1992,KEN,1248,"10 km Road,Half Marathon"
8,Vicoty CHEPNGENO,12 NOV 1993,KEN,1244,"10 km Road,Half Marathon"
9,Norah JERUTO,02 OCT 1995,KAZ,1235,10 km Road [5 km Road]
10,Hawi FEYSA,01 FEB 1999,ETH,1231,Half Marathon
11,Tsigie GEBRESELAMA,30 SEP 2000,ETH,1231,"10 km Road,Half Marathon"
12,Eilish MCCOLGAN,25 NOV 1990,GBR,1227,"10 km Road,Half Marathon"
13,Senbere TEFERI,03 MAY 1995,ETH,1226,10 km Road [5 km Road]
14,Joyce Chepkemoi TELE,03 MAY 1995,KEN,1221,"10 km Road,Half Marathon [15 km Road]"
15,Irine Jepchumba KIMAIS,10 OCT 1998,KEN,1220,Half Marathon
16,Eva CHERONO,15 AUG 1996,KEN,1219,10 km Road [5 km Road]
17,Daisy CHEROTICH,30 MAY 1997,KEN,1219,"10 km Road,Half Marathon"
18,Jesca CHELANGAT,09 JAN 1998,KEN,1218,10 km Road
19,Bosena MULATIE,21 NOV 2001,ETH,1215,Half Marathon
20,Tadu TESHOME,09 JUN 2001,ETH,1210,"10 km Road,Half Marathon"
21,Brenda JEPLETING,1997,KEN,1210,Half Marathon
22,Viola CHEPNGENO,03 FEB 1998,KEN,1207,Half Marathon
23,Dawit SEYAUM,27 JUL 1996,ETH,1207,Half Marathon [5 km Road]
24,Bekelech GUDETA,11 OCT 1997,ETH,1202,"10 km Road,Half Marathon"
25,Purity Temutai KOMEN,01 MAY 1998,KEN,1200,"10 km Road,Half Marathon"
26,Faith CHERONO,18 DEC 1998,KEN,1200,10 km Road
27,Beatrice CHESEREK,KEN,1199,Half Marathon,
28,Agnes Jebet NGETICH,23 JAN 2001,KEN,1198,10 km Road [5 km Road]
29,Ftaw ZERAY,ETH,1198,Half Marathon,
30,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,1198,"10 km Road,Half Marathon"
31,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,1198,10 km Road
32,Sarah CHELANGAT,05 JUN 2001,UGA,1197,10 km Road
33,Nigsti HAFTU,08 JUL 1999,ETH,1197,Half Marathon [5 km Road]
34,Keira D'AMATO,21 OCT 1984,USA,1195,"10 km Road,Half Marathon [20 km Road]"
35,Tigist ASSEFA,03 DEC 1996,ETH,1195,"10 km Road,Half Marathon"
36,Stella CHESANG,01 DEC 1996,UGA,1194,"10 km Road,Half Marathon [15 km Road]"
37,Gladys CHEPKURUI,17 AUG 1994,KEN,1193,10 km Road [5 km Road]
38,Betty Chepkemoi KIBET,03 APR 2000,KEN,1190,"10 km Road,Half Marathon"
39,Tiruye MESFIN,11 SEP 2002,ETH,1189,"10 km Road,Half Marathon"
40,Nesphine JEPLETING,20 APR 1996,KEN,1188,"10 km Road,Half Marathon"
41,Magdalena SHAURI,25 FEB 1996,TAN,1188,Half Marathon
