1,Chase EALEY,20 JUL 1994,USA,1466,Shot Put
2,Sarah MITTON,20 JUN 1996,CAN,1383,Shot Put
3,Jessica SCHILDER,19 MAR 1999,NED,1380,Shot Put [Shot Put ind.]
4,Auriol DONGMO,03 AUG 1990,POR,1374,Shot Put [Shot Put ind.]
5,Danniel THOMAS-DODD,11 NOV 1992,JAM,1284,Shot Put
6,Fanny ROOS,02 JAN 1995,SWE,1282,Shot Put [Shot Put ind.]
7,Maggie EWEN,23 SEP 1994,USA,1269,Shot Put [Shot Put ind.]
8,Maddison-Lee WESCHE,13 JUN 1999,NZL,1268,Shot Put
9,Jessica WOODARD,04 FEB 1995,USA,1265,Shot Put
10,Jiayuan SONG,15 SEP 1997,CHN,1262,Shot Put
11,Jessica RAMSEY,26 JUL 1991,USA,1262,Shot Put
12,Sara GAMBETTA,18 FEB 1993,GER,1218,Shot Put [Shot Put ind.]
13,Adelaide AQUILLA,03 MAR 1999,USA,1210,Shot Put [Shot Put ind.]
14,Jorinde VAN KLINKEN,02 FEB 2000,NED,1201,Shot Put [Shot Put ind.]
15,Aliona DUBITSKAYA,25 JAN 1990,BLR,1191,Shot Put
16,Katharina MAISCH,12 JUN 1997,GER,1183,Shot Put [Shot Put ind.]
17,Axelina JOHANSSON,20 APR 2000,SWE,1178,Shot Put
18,Julia RITTER,13 MAY 1998,GER,1165,Shot Put
19,Jessica INCHUDE,25 MAR 1996,POR,1151,Shot Put
20,Sophie MCKINNA,31 AUG 1994,GBR,1150,Shot Put [Shot Put ind.]
21,Benthe KÖNIG,07 APR 1998,NED,1135,Shot Put [Shot Put ind.]
22,María Belén TOIMIL,05 MAY 1994,ESP,1134,Shot Put
23,Lloydricia CAMERON,08 APR 1996,JAM,1128,Shot Put
24,Anita MÁRTON,15 JAN 1989,HUN,1128,Shot Put
25,Dimitriana BEZEDE,12 APR 1994,MDA,1127,Shot Put [Shot Put ind.]
26,Ivana Xennia GALLARDO,20 JUL 1993,CHI,1126,Shot Put [Shot Put ind.]
27,Rachel FATHERLY,20 APR 1994,USA,1123,Shot Put
28,Livia AVANCINI,08 MAY 1992,BRA,1122,Shot Put [Shot Put ind.]
29,Amelia STRICKLER,24 JAN 1994,GBR,1118,Shot Put [Shot Put ind.]
30,Divine OLADIPO,05 OCT 1998,GBR,1115,Shot Put [Shot Put ind.]
31,Snezhana TROFIMETS,01 JUL 1999,ANA,1112,Shot Put
32,Ana Caroline SILVA,12 FEB 1999,BRA,1104,Shot Put
33,Yemisi Magdalena OGUNLEYE,03 OCT 1998,GER,1104,Shot Put [Shot Put ind.]
34,Latavia MAINES,USA,1101,Shot Put [Shot Put ind.],
35,Markéta ČERVENKOVÁ,20 AUG 1991,CZE,1100,Shot Put
36,Klaudia KARDASZ,02 MAY 1996,POL,1098,Shot Put [Shot Put ind.]
37,Portious WARREN,02 MAR 1996,TTO,1093,Shot Put
38,Senja MÄKITÖRMÄ,31 MAY 1994,FIN,1090,Shot Put
39,Emel DERELİ,25 FEB 1996,TUR,1086,Shot Put [Shot Put ind.]
40,Sara LENNMAN,08 APR 1996,SWE,1082,Shot Put
41,Eveliina ROUVALI,16 APR 1997,FIN,1080,Shot Put [Shot Put ind.]
42,Paulina GUBA,14 MAY 1991,POL,1080,Shot Put [Shot Put ind.]
43,Monique RIDDICK,08 NOV 1989,USA,1080,Shot Put [Shot Put ind.]
44,Adele NICOLL,28 SEP 1996,GBR,1074,Shot Put [Shot Put ind.]
45,Payden MONTANA,26 NOV 1999,USA,1069,Shot Put [Shot Put ind.]
46,Maria DE AVIZ,10 APR 2001,BRA,1068,Shot Put
47,Linru ZHANG,23 SEP 1999,CHN,1067,Shot Put
48,Eliana BANDEIRA,01 JUL 1996,POR,1067,Shot Put [Shot Put ind.]
49,Lea RIEDEL,19 MAY 1999,GER,1066,Shot Put
