1,Yulimar ROJAS,21 OCT 1995,VEN,1517,Triple Jump [Triple Jump ind.]
2,Shanieka RICKETTS,02 FEB 1992,JAM,1401,Triple Jump
3,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,1365,Triple Jump [Triple Jump ind.]
4,Thea LAFOND,05 APR 1994,DMA,1350,Triple Jump [Triple Jump ind.]
5,Tori FRANKLIN,07 OCT 1992,USA,1344,Triple Jump
6,Keturah ORJI,05 MAR 1996,USA,1314,Triple Jump
7,Leyanis PÉREZ HERNÁNDEZ,10 JAN 2002,CUB,1297,Triple Jump
8,Patrícia MAMONA,21 NOV 1988,POR,1292,Triple Jump [Triple Jump ind.]
9,Kimberly WILLIAMS,03 NOV 1988,JAM,1283,Triple Jump [Triple Jump ind.]
10,Kristiina MÄKELÄ,20 NOV 1992,FIN,1259,Triple Jump [Triple Jump ind.]
11,Liadagmis POVEA,06 FEB 1996,CUB,1250,Triple Jump [Triple Jump ind.]
12,Neja FILIPIČ,22 APR 1995,SLO,1246,Triple Jump
13,Ana Lucia JOSE TIMA,10 OCT 1989,DOM,1243,Triple Jump
14,Neele ECKHARDT-NOACK,02 JUL 1992,GER,1238,Triple Jump
15,Naomi METZGER,18 APR 1998,GBR,1237,Triple Jump
16,Hanna MINENKO,25 SEP 1989,ISR,1234,Triple Jump
17,Jasmine MOORE,01 MAY 2001,USA,1221,Triple Jump [Triple Jump ind.]
18,Senni SALMINEN,29 JAN 1996,FIN,1215,Triple Jump [Triple Jump ind.]
19,Ackelia SMITH,05 FEB 2002,JAM,1205,Triple Jump
20,Ruth USORO,08 OCT 1997,NGR,1192,Triple Jump
21,Davisleydi VELAZCO,04 SEP 1999,CUB,1191,Triple Jump
22,Gabriele SOUSA DOS SANTOS,23 FEB 1995,BRA,1191,Triple Jump [Triple Jump ind.]
23,Tuğba DANIŞMAZ,10 SEP 1999,TUR,1190,Triple Jump [Triple Jump ind.]
24,Liuba Maria ZALDÍVAR,05 APR 1993,ECU,1182,Triple Jump [Triple Jump ind.]
25,Ottavia CESTONARO,12 JAN 1995,ITA,1182,Triple Jump [Triple Jump ind.]
26,Dariya DERKACH,27 MAR 1993,ITA,1174,Triple Jump [Triple Jump ind.]
27,Elena Andreea TALOȘ,24 FEB 1995,ROU,1171,Triple Jump [Triple Jump ind.]
28,Rūta Kate LASMANE,17 DEC 2000,LAT,1166,Triple Jump [Triple Jump ind.]
29,Dovilė KILTY,14 JUL 1993,LTU,1155,Triple Jump [Triple Jump ind.]
30,Sharifa DAVRONOVA,27 SEP 2006,UZB,1149,Triple Jump
31,Kristin GIERISCH,20 AUG 1990,GER,1144,Triple Jump [Triple Jump ind.]
32,Spyridoula KARYDI,30 JAN 2001,GRE,1144,Triple Jump
33,Yekaterina SARIYEVA,18 DEC 1995,AZE,1142,Triple Jump
34,Mariko MORIMOTO,17 MAR 1995,JPN,1142,Triple Jump
35,Jessie MADUKA,23 APR 1996,GER,1142,Triple Jump [Triple Jump ind.]
36,Natricia HOOPER,24 NOV 1998,GUY,1140,Triple Jump [Triple Jump ind.]
37,Mariya YEFREMOVA,19 OCT 1998,KAZ,1139,Triple Jump [Triple Jump ind.]
38,Darya NIDBAYKINA,26 DEC 1994,RUS,1135,Triple Jump [Triple Jump ind.]
39,Tamara MYERS,27 JUL 1993,BAH,1133,Triple Jump
40,Viyaleta SKVARTSOVA,15 APR 1998,BLR,1133,Triple Jump [Triple Jump ind.]
41,Aina GRIKŠAITĖ,23 NOV 1994,LTU,1131,Triple Jump [Triple Jump ind.]
42,Adrianna SZÓSTAK,02 MAR 1996,POL,1124,Triple Jump
43,Silvana SEGURA,06 NOV 1990,PER,1123,Triple Jump [Triple Jump ind.]
44,Imani OLIVER,07 MAR 1993,USA,1120,Triple Jump [Triple Jump ind.]
45,Kira WITTMANN,13 JUL 2000,GER,1120,Triple Jump [Triple Jump ind.]
46,Aleksandra NACHEVA,20 AUG 2001,BUL,1120,Triple Jump
47,Gizem AKGÖZ,05 JAN 2001,TUR,1119,Triple Jump [Triple Jump ind.]
48,Victoria JOSSE,29 OCT 2000,FRA,1117,Triple Jump [Triple Jump ind.]
49,Saly SARR,14 OCT 2002,SEN,1114,Triple Jump
50,Sangoné KANDJI,09 JUN 1992,SEN,1113,Triple Jump
51,Diana ZAGAINOVA,20 JUN 1997,LTU,1112,Triple Jump [Triple Jump ind.]
52,Paola BOROVIĆ,26 JUN 1995,CRO,1109,Triple Jump [Triple Jump ind.]
53,Susana COSTA,22 SEP 1984,POR,1109,Triple Jump [Triple Jump ind.]
54,Patricia SARRAPIO,16 NOV 1982,ESP,1108,Triple Jump [Triple Jump ind.]
55,Véronique KOSSENDA REY,23 SEP 1996,CMR,1107,Triple Jump
56,Rebecka ABRAHAMSSON,26 APR 1994,SWE,1107,Triple Jump [Triple Jump ind.]
57,Karolina MŁODAWSKA,04 OCT 1996,POL,1107,Triple Jump [Triple Jump ind.]
58,Maja ÅSKAG,18 DEC 2002,SWE,1106,Triple Jump [Triple Jump ind.]
59,Agnieszka BEDNAREK,14 JUN 1998,POL,1105,Triple Jump
60,Eva PEPELNAK,04 OCT 2000,SLO,1105,Triple Jump
61,Roksana KHUDOYAROVA,30 JAN 2001,UZB,1105,Triple Jump
62,Mariya SINEY,29 MAR 1997,UKR,1103,Triple Jump [Triple Jump ind.]
63,Arianna FISHER,12 NOV 2000,USA,1103,Triple Jump [Triple Jump ind.]
64,Desleigh OWUSU,20 SEP 2001,AUS,1102,Triple Jump
65,Thelma Nohemí FUENTES,20 AUG 1992,GUA,1099,Triple Jump
66,Akari FUNADA,27 AUG 2000,JPN,1098,Triple Jump
67,Diana Ana Maria ION,27 NOV 2000,ROU,1097,Triple Jump [Triple Jump ind.]
68,Onaara OBAMUWAGUN,09 JAN 1999,NGR,1096,Triple Jump [Triple Jump ind.]
69,Evelise VEIGA,03 MAR 1996,POR,1096,Triple Jump [Triple Jump ind.]
70,Sohane AUCAGOS,17 MAR 2003,FRA,1096,Triple Jump [Triple Jump ind.]
71,Maoko TAKASHIMA,07 JUL 1999,JPN,1095,Triple Jump [Triple Jump ind.]
72,Deborah ACQUAH,23 MAY 1996,GHA,1093,Triple Jump [Triple Jump ind.]
73,Caroline JOYEUX,26 MAR 2001,GER,1093,Triple Jump
74,Maria PURTSA,18 AUG 1995,GER,1091,Triple Jump
75,Charisma TAYLOR,03 SEP 1999,BAH,1088,Triple Jump [Triple Jump ind.]
76,Linda SUCHÁ,28 SEP 2001,CZE,1087,Triple Jump
77,Mikeisha WELCOME,06 AUG 2000,VIN,1087,Triple Jump [Triple Jump ind.]
78,Titiana MARSH,13 DEC 1999,USA,1081,Triple Jump [Triple Jump ind.]
79,Emma MAŠTALÍŘOVÁ,27 NOV 2000,CZE,1079,Triple Jump [Triple Jump ind.]
80,Ilionis GUILLAUME,13 JAN 1998,FRA,1078,Triple Jump [Triple Jump ind.]
81,Michelle FOKAM,08 JUN 1998,USA,1077,Triple Jump [Triple Jump ind.]
