1,Noah LYLES,18 JUL 1997,USA,1533,200m
2,Erriyon KNIGHTON,29 JAN 2004,USA,1429,200m
3,Kenneth BEDNAREK,14 OCT 1998,USA,1420,200m
4,Alexander OGANDO,03 MAY 2000,DOM,1400,200m
5,Jereem RICHARDS,13 JAN 1994,TTO,1384,200m
6,Aaron BROWN,27 MAY 1992,CAN,1371,200m
7,Joseph FAHNBULLEH,11 SEP 2001,LBR,1362,200m
8,Luxolo ADAMS,01 AUG 1996,RSA,1360,200m
9,Andrew HUDSON,14 DEC 1996,JAM,1314,200m
10,Fred KERLEY,07 MAY 1995,USA,1312,200m
11,Kyree KING,09 JUL 1994,USA,1303,200m
12,Josephus LYLES,22 JUL 1998,USA,1296,200m [200m ind.]
13,Jerome BLAKE,18 AUG 1995,CAN,1295,200m
14,Filippo TORTU,15 JUN 1998,ITA,1290,200m
15,Zharnel HUGHES,13 JUL 1995,GBR,1284,200m
16,Nethaneel MITCHELL-BLAKE,02 APR 1994,GBR,1284,200m
17,Reynier MENA,21 NOV 1996,CUB,1283,200m
18,Charles DOBSON,20 OCT 1999,GBR,1259,200m
19,Matthew BOLING,20 JUN 2000,USA,1256,200m [200m ind.]
20,Yancarlos MARTÍNEZ,08 AUG 1992,DOM,1249,200m
21,Letsile TEBOGO,07 JUN 2003,BOT,1242,200m
22,Eseosa Fostine DESALU,19 FEB 1994,ITA,1242,200m
23,Blessing Akwasi AFRIFAH,26 OCT 2003,ISR,1232,200m
24,Javonte' HARDING,USA,1227,200m [200m ind.],
25,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1225,200m
26,Mouhamadou FALL,25 FEB 1992,FRA,1222,200m
27,Méba Mickaël ZEZE,19 MAY 1994,FRA,1219,200m
28,Owen ANSAH,28 NOV 2000,GER,1216,200m [200m ind.]
29,Lucas RODRIGUES DA SILVA,05 JUL 2001,BRA,1215,200m
30,Aidan MURPHY,14 OCT 2003,AUS,1213,200m
31,Clarence MUNYAI,20 FEB 1998,RSA,1213,200m
32,Brendon RODNEY,09 APR 1992,CAN,1211,200m
33,Emmanuel ESEME,17 AUG 1993,CMR,1210,200m
34,Pol RETAMAL,16 MAR 1999,ESP,1208,200m
35,Joshua HARTMANN,09 JUN 1999,GER,1203,200m
36,Sinesipho DAMBILE,02 MAR 2002,RSA,1203,200m
37,Courtney LINDSEY,USA,1200,200m [200m ind.],
38,Joe FERGUSON,03 MAY 2000,GBR,1199,200m
39,Ramil GULIYEV,29 MAY 1990,TUR,1197,200m
40,Micaiah HARRIS,19 DEC 1998,USA,1196,200m
41,Taymir BURNET,01 OCT 1992,NED,1196,200m [200m ind.]
42,Robert GREGORY,2001,USA,1195,200m [200m ind.]
43,Amaury GOLITIN,28 JAN 1997,FRA,1194,200m
44,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1194,200m [200m ind.]
45,Tarsis Gracious OROGOT,24 NOV 2002,UGA,1192,200m
46,Benjamin AZAMATI,14 JAN 1998,GHA,1192,200m [200m ind.]
47,Elijah MORROW,30 OCT 1995,USA,1189,200m [200m ind.]
48,Ryan ZEZE,29 JAN 1998,FRA,1189,200m [200m ind.]
49,Koki UEYAMA,15 MAY 1999,JPN,1186,200m
50,Rasheed DWYER,29 JAN 1989,JAM,1186,200m
51,Joseph Paul AMOAH,12 JAN 1997,GHA,1185,200m [200m ind.]
52,Calab LAW,31 DEC 2003,AUS,1185,200m
53,Jan JIRKA,05 OCT 1993,CZE,1185,200m [200m ind.]
54,Isaac MAKWALA,24 SEP 1985,BOT,1184,200m
55,Emmanuel MATADI,15 APR 1991,LBR,1184,200m
56,Eric HARRISON JR.,18 FEB 1999,TTO,1184,200m
57,Lance LANG,USA,1183,200m [200m ind.],
58,Ian KERR,01 MAY 1996,BAH,1182,200m
59,Lucas VILAR,10 MAR 2001,BRA,1180,200m
60,Ján VOLKO,02 NOV 1996,SVK,1179,200m [200m ind.]
61,Felipe BARDI,08 OCT 1998,BRA,1178,200m
62,Renan CORREA,15 MAR 2004,BRA,1178,200m
63,Puripol BOONSON,13 JAN 2006,THA,1177,200m
64,Gediminas TRUSKAUSKAS,02 JAN 1998,LTU,1176,200m
65,Benjamin RICHARDSON,19 DEC 2003,RSA,1176,200m
66,Mario HESLOP,17 OCT 1999,JAM,1175,200m
67,Simon HANSEN,30 JUN 1998,DEN,1174,200m
68,Robert MCDONNELL,31 MAY 2002,IRL,1174,200m [200m ind.]
69,Yohan BLAKE,26 DEC 1989,JAM,1173,200m
70,Dorian CAMEL,USA,1171,200m [200m ind.],
71,Randolph ROSS,01 JAN 2001,USA,1171,200m [200m ind.]
72,Shaun MASWANGANYI,01 FEB 2001,RSA,1171,200m
73,Tamás MÁTÉ,17 DEC 1998,HUN,1167,200m [200m ind.]
74,Jeremiah CURRY,USA,1166,200m [200m ind.],
75,Kasaun JAMES,22 DEC 1997,USA,1165,200m [200m ind.]
76,Dwight ST. HILLAIRE,05 DEC 1997,TTO,1164,200m [200m ind.]
77,Evan MILLER,29 AUG 2000,USA,1164,200m [200m ind.]
78,Shota IIZUKA,25 JUN 1991,JPN,1163,200m
79,Anderson MARQUINEZ,06 JAN 2001,ECU,1162,200m
80,Tinotenda MATIYENGA,09 JUL 1999,ZIM,1162,200m [200m ind.]
81,Micah WILLIAMS,12 NOV 2001,USA,1161,200m [200m ind.]
82,Daniel STOKES,20 AUG 1997,USA,1161,200m [200m ind.]
83,Ferdinand OMANYALA,02 JAN 1996,KEN,1160,200m
84,Diego Aldo PETTOROSSI,13 JAN 1997,ITA,1160,200m [200m ind.]
85,Jeriel QUAINOO,17 APR 2003,GBR,1160,200m
86,Shainer RENGIFO MONTOYA,08 APR 2002,CUB,1159,200m
87,Jake DORAN,18 JUL 2000,AUS,1159,200m
88,Samuel PUROLA,19 MAY 2000,FIN,1158,200m [200m ind.]
89,Akeem SIRLEAF,10 MAR 1997,LBR,1158,200m [200m ind.]
90,Yuki KOIKE,13 MAY 1995,JPN,1156,200m
91,Daniel RODRÍGUEZ,26 JAN 1995,ESP,1156,200m [200m ind.]
92,Yoshihiro SOMEYA,14 JUL 1998,JPN,1156,200m
93,Kennedy LIGHTNER,2000,USA,1155,200m [200m ind.]
94,Łukasz ŻOK,17 MAY 2001,POL,1155,200m [200m ind.]
95,Brandon MILLER,27 JUN 2003,USA,1155,200m
96,Cravont CHARLESTON,02 JAN 1998,USA,1154,200m
97,Joe WILLIAMS,USA,1154,200m [200m ind.],
98,Gary Noa Jerrel BIBI,21 AUG 2000,MRI,1151,200m
99,Zhenye XIE,17 AUG 1993,CHN,1151,200m
100,David DUNLAP,USA,1151,200m [200m ind.],
