1,Soufiane EL BAKKALI,07 JAN 1996,MAR,1437,3000mSC
2,Lamecha GIRMA,26 NOV 2000,ETH,1421,3000mSC
3,Getnet WALE,16 JUL 2000,ETH,1369,3000mSC
4,Abraham KIBIWOT,06 APR 1996,KEN,1362,3000mSC
5,Hailemariyam AMARE,22 FEB 1997,ETH,1347,3000mSC
6,Conseslus KIPRUTO,08 DEC 1994,KEN,1340,3000mSC
7,Leonard Kipkemoi BETT,03 NOV 2000,KEN,1312,3000mSC
8,Amos SEREM,28 AUG 2002,KEN,1310,3000mSC
9,Ryuji MIURA,21 FEB 2002,JPN,1308,3000mSC
10,Hillary BOR,22 NOV 1989,USA,1292,3000mSC
11,Ahmed ABDELWAHED,26 MAY 1996,ITA,1291,3000mSC
12,Evan JAGER,08 MAR 1989,USA,1288,3000mSC
13,Avinash Mukund SABLE,13 SEP 1994,IND,1286,3000mSC
14,Osama ZOGHLAMI,19 JUN 1994,ITA,1258,3000mSC
15,Mehdi BELHADJ,10 JUN 1995,FRA,1250,3000mSC
16,Topi RAITANEN,07 FEB 1996,FIN,1249,3000mSC
17,Abrham SIME,07 NOV 2001,ETH,1245,3000mSC
18,Daniel ARCE,22 APR 1992,ESP,1242,3000mSC
19,Benjamin KIGEN,05 JUL 1993,KEN,1236,3000mSC
20,Duncan HAMILTON,14 JUL 2000,USA,1231,3000mSC
21,Sebastián MARTOS,20 JUN 1989,ESP,1230,3000mSC
22,Yemane HAILESELASSIE,21 FEB 1998,ERI,1227,3000mSC
23,Lawrence Kemboi KIPSANG,15 JUN 1993,KEN,1219,3000mSC
24,Samuel FIREWU,03 MAY 2004,ETH,1218,3000mSC
25,John GAY,07 NOV 1996,CAN,1217,3000mSC
26,Frederik RUPPERT,19 FEB 1997,GER,1216,3000mSC
27,Jean-Simon DESGAGNÉS,26 JUL 1998,CAN,1207,3000mSC
28,Leonardo FELETTO,26 JUN 1995,ITA,1205,3000mSC [2000mSC]
29,Mohamed TINDOUFT,12 MAR 1993,MAR,1198,3000mSC
30,Travis MAHONEY,25 JUL 1990,USA,1196,3000mSC
31,Karl BEBENDORF,07 MAY 1996,GER,1196,3000mSC
32,Kosei YAMAGUCHI,19 AUG 1991,JPN,1196,3000mSC
33,Mohamed Amin JHINAOUI,02 APR 1997,TUN,1193,3000mSC
34,Bilal TABTI,07 JUN 1993,ALG,1193,3000mSC
35,Ahmed JAZIRI,16 DEC 1997,TUN,1192,3000mSC
36,Geoffrey Kipkemoi KIRWA,03 JUL 2001,KEN,1190,3000mSC
37,Philemon Kiplagat RUTO,20 SEP 2001,KEN,1188,3000mSC
38,Benard KETER,25 MAY 1992,USA,1187,3000mSC
39,Ryan SMEETON,26 OCT 1998,CAN,1186,3000mSC
