1,Damian WARNER,04 NOV 1989,CAN,1368,Decathlon [Heptathlon ind.]
2,Zachery ZIEMEK,23 FEB 1993,USA,1353,Decathlon
3,Lindon VICTOR,28 FEB 1993,GRN,1348,Decathlon
4,Niklas KAUL,11 FEB 1998,GER,1337,Decathlon
5,Ayden OWENS-DELERME,28 MAY 2000,PUR,1330,Decathlon
6,Simon EHAMMER,07 FEB 2000,SUI,1310,Decathlon [Heptathlon ind.]
7,Maicel UIBO,27 DEC 1992,EST,1286,Decathlon
8,Cedric DUBLER,13 JAN 1995,AUS,1275,Decathlon
9,Kyle GARLAND,28 MAY 2000,USA,1255,Decathlon
10,Johannes ERM,26 MAR 1998,EST,1235,Decathlon
11,Leo NEUGEBAUER,19 JUN 2000,GER,1235,Decathlon
12,Marcus NILSSON,03 MAY 1991,SWE,1233,Decathlon
13,Daniel GOLUBOVIC,29 NOV 1993,AUS,1232,Decathlon
14,Manuel EITEL,28 JAN 1997,GER,1230,Decathlon
15,Ashley MOLONEY,13 MAR 2000,AUS,1228,Decathlon [Heptathlon ind.]
16,Janek ÕIGLANE,25 APR 1994,EST,1227,Decathlon
17,Sander SKOTHEIM,31 MAY 2002,NOR,1224,Decathlon
18,Ondřej KOPECKÝ,16 MAY 1998,CZE,1223,Decathlon
19,Kai KAZMIREK,28 JAN 1991,GER,1216,Decathlon
20,Markus ROOTH,22 DEC 2001,NOR,1213,Decathlon
21,Ilya SHKURENYOV,11 JAN 1991,RUS,1210,Decathlon [Heptathlon ind.]
22,Risto LILLEMETS,20 NOV 1997,EST,1209,Decathlon
23,Tim NOWAK,13 AUG 1995,GER,1208,Decathlon
24,Dario DESTER,22 JUL 2000,ITA,1206,Decathlon
25,Steven BASTIEN,04 MAR 1994,USA,1203,Decathlon [Heptathlon ind.]
26,Andy PRECIADO,12 OCT 1997,ECU,1194,Decathlon
27,Felipe DOS SANTOS,30 JUL 1994,BRA,1191,Decathlon [Heptathlon ind.]
28,Jiří SÝKORA,20 JAN 1995,CZE,1186,Decathlon [Heptathlon ind.]
29,Makenson GLETTY,02 APR 1999,FRA,1181,Decathlon
30,Sven ROOSEN,27 JUL 2001,NED,1181,Decathlon
31,Artyom MAKARENKO,23 APR 1997,ANA,1181,Decathlon [Heptathlon ind.]
32,Baptiste THIERY,29 JUN 2001,FRA,1173,Decathlon
33,Alec DIAMOND,09 AUG 1997,AUS,1164,Decathlon
34,Vitaliy ZHUK,10 SEP 1996,BLR,1163,Decathlon
