1,Kristjan ČEH,17 FEB 1999,SLO,1485,Discus Throw
2,Mykolas ALEKNA,28 SEP 2002,LTU,1402,Discus Throw
3,Daniel STÅHL,27 AUG 1992,SWE,1378,Discus Throw
4,Andrius GUDŽIUS,14 FEB 1991,LTU,1366,Discus Throw
5,Simon PETTERSSON,03 JAN 1994,SWE,1338,Discus Throw
6,Matthew DENNY,02 JUN 1996,AUS,1330,Discus Throw
7,Lukas WEIßHAIDINGER,20 FEB 1992,AUT,1327,Discus Throw
8,Sam MATTIS,19 MAR 1994,USA,1296,Discus Throw
9,Lawrence OKOYE,06 OCT 1991,GBR,1273,Discus Throw
10,Alin Alexandru FIRFIRICA,03 NOV 1995,ROU,1271,Discus Throw
11,Traves SMIKLE,07 MAY 1992,JAM,1252,Discus Throw
12,Alex ROSE,17 NOV 1991,SAM,1249,Discus Throw
13,Fedrick DACRES,28 FEB 1994,JAM,1238,Discus Throw
14,Nicholas PERCY,05 DEC 1994,GBR,1225,Discus Throw
15,Claudio ROMERO,10 JUL 2000,CHI,1224,Discus Throw
16,Andrew EVANS,25 JAN 1991,USA,1193,Discus Throw
17,Apostolos PARELLIS,24 JUL 1985,CYP,1189,Discus Throw
18,Marek BÁRTA,08 DEC 1992,CZE,1186,Discus Throw
19,Lucas NERVI,31 AUG 2001,CHI,1183,Discus Throw
20,Henrik JANSSEN,19 MAY 1998,GER,1179,Discus Throw
21,Ralford MULLINGS,22 NOV 2002,JAM,1174,Discus Throw
22,Mario A. DÍAZ,08 DEC 1999,CUB,1173,Discus Throw
23,Martin WIERIG,10 JUN 1987,GER,1171,Discus Throw
24,Roje STONA,26 FEB 1999,JAM,1170,Discus Throw
25,Róbert SZIKSZAI,30 SEP 1994,HUN,1169,Discus Throw
26,Martin MARKOVIĆ,13 JAN 1996,CRO,1164,Discus Throw
27,Victor HOGAN,25 JUL 1989,RSA,1164,Discus Throw
28,Robert URBANEK,29 APR 1987,POL,1161,Discus Throw
29,Philip MILANOV,06 JUL 1991,BEL,1160,Discus Throw
30,Mauricio ORTEGA,04 AUG 1994,COL,1159,Discus Throw
31,Oskar STACHNIK,01 MAR 1998,POL,1159,Discus Throw
32,Guðni Valur GUÐNASON,11 OCT 1995,ISL,1158,Discus Throw
33,Josh SYROTCHEN,19 APR 1994,USA,1157,Discus Throw
34,Danijel FURTULA,31 JUL 1992,MNE,1155,Discus Throw
35,Torben BRANDT,19 MAY 1995,GER,1149,Discus Throw
36,Brian WILLIAMS,18 DEC 1994,USA,1146,Discus Throw
37,Yauheni BAHUTSKI,07 SEP 1999,BLR,1145,Discus Throw
38,Sven Martin SKAGESTAD,13 JAN 1995,NOR,1145,Discus Throw
39,Juan CAICEDO,27 JUL 1992,ECU,1139,Discus Throw
40,János HUSZÁK,05 FEB 1992,HUN,1139,Discus Throw
41,Lolassonn DJOUHAN,18 MAY 1991,FRA,1139,Discus Throw
42,Mykyta NESTERENKO,15 APR 1991,UKR,1133,Discus Throw
43,Ruben ROLVINK,25 AUG 2002,NED,1129,Discus Throw
44,Connor BELL,21 JUN 2001,NZL,1129,Discus Throw
45,Dallin SHURTS,23 OCT 1996,USA,1121,Discus Throw
46,Alan Christian DE FALCHI,03 APR 2000,BRA,1119,Discus Throw
47,Ola STUNES ISENE,29 JAN 1995,NOR,1119,Discus Throw
48,Shaquille EMANUELSON,08 JAN 2000,NED,1113,Discus Throw
49,David WROBEL,13 FEB 1991,GER,1112,Discus Throw
50,Kirpal SINGH BATTH,19 MAY 1992,IND,1111,Discus Throw
51,Werner VISSER,27 FEB 1998,RSA,1110,Discus Throw
52,Iffy JOYNER,14 AUG 1999,USA,1110,Discus Throw
53,Legend BOYESEN,09 FEB 1996,USA,1106,Discus Throw
54,Wellinton FERNANDES DA CRUZ FILHO,27 APR 1998,BRA,1105,Discus Throw
55,Gleb SIDORCHENKO,15 MAY 1986,RUS,1105,Discus Throw
56,Jorge FERNÁNDEZ,02 OCT 1987,CUB,1105,Discus Throw
57,Marcus GUSTAVESON,USA,1104,Discus Throw,
58,Lois Maikel MARTÍNEZ,03 JUN 1981,ESP,1104,Discus Throw
59,Christoforos GENETHLI,19 FEB 1998,CYP,1103,Discus Throw
