1,Wojciech NOWICKI,22 FEB 1989,POL,1442,Hammer Throw
2,Paweł FAJDEK,04 JUN 1989,POL,1433,Hammer Throw
3,Bence HALÁSZ,04 AUG 1997,HUN,1371,Hammer Throw
4,Quentin BIGOT,01 DEC 1992,FRA,1353,Hammer Throw
5,Eivind HENRIKSEN,14 SEP 1990,NOR,1351,Hammer Throw
6,Rudy WINKLER,06 DEC 1994,USA,1339,Hammer Throw
7,Mykhaylo KOKHAN,22 JAN 2001,UKR,1323,Hammer Throw
8,Daniel HAUGH,03 MAY 1995,USA,1308,Hammer Throw
9,Christos FRANTZESKAKIS,26 APR 2000,GRE,1291,Hammer Throw
10,Gabriel KEHR,03 SEP 1996,CHI,1256,Hammer Throw
11,Humberto MANSILLA,22 MAY 1996,CHI,1251,Hammer Throw
12,Nick MILLER,01 MAY 1993,GBR,1241,Hammer Throw
13,Diego DEL REAL,06 MAR 1994,MEX,1226,Hammer Throw
14,Sean DONNELLY,01 APR 1993,USA,1225,Hammer Throw
15,Valeriy PRONKIN,15 JUN 1994,ANA,1224,Hammer Throw
16,Alex YOUNG,01 SEP 1994,USA,1218,Hammer Throw
17,Ragnar CARLSSON,16 NOV 2000,SWE,1213,Hammer Throw
18,Adam KEENAN,26 SEP 1993,CAN,1209,Hammer Throw
19,Serghei MARGHIEV,06 NOV 1992,MDA,1201,Hammer Throw
20,Javier CIENFUEGOS,15 JUL 1990,ESP,1201,Hammer Throw
21,Andrey ROMANOV,19 SEP 1994,ANA,1200,Hammer Throw
22,Aliaksandr SHYMANOVICH,09 FEB 1998,BLR,1190,Hammer Throw
23,Rowan HAMILTON,29 JAN 2000,CAN,1180,Hammer Throw
24,Dániel RÁBA,24 APR 1998,HUN,1180,Hammer Throw
25,Marcin WROTYŃSKI,11 MAR 1996,POL,1179,Hammer Throw
26,Yann CHAUSSINAND,11 MAY 1998,FRA,1175,Hammer Throw
27,Özkan BALTACI,13 FEB 1994,TUR,1173,Hammer Throw
28,Joaquin GOMEZ,14 OCT 1996,ARG,1171,Hammer Throw
29,Hilmar Örn JÓNSSON,06 MAY 1996,ISL,1169,Hammer Throw
30,Denzel COMENENTIA,25 NOV 1995,NED,1167,Hammer Throw
31,Michail ANASTASAKIS,03 DEC 1994,GRE,1165,Hammer Throw
32,Yasmani FERNÁNDEZ,07 MAR 1995,CUB,1163,Hammer Throw
