1,Sanghyeok WOO,23 APR 1996,KOR,1405,High Jump [High Jump ind.]
2,Gianmarco TAMBERI,01 JUN 1992,ITA,1383,High Jump [High Jump ind.]
3,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1375,High Jump
4,Django LOVETT,06 JUL 1992,CAN,1334,High Jump
5,Andriy PROTSENKO,20 MAY 1988,UKR,1331,High Jump
6,JuVaughn HARRISON,30 APR 1999,USA,1322,High Jump
7,Hamish KERR,17 AUG 1996,NZL,1292,High Jump [High Jump ind.]
8,Shelby MCEWEN,06 APR 1996,USA,1288,High Jump
9,Tomohiro SHINNO,17 AUG 1996,JPN,1275,High Jump
10,Luis Enrique ZAYAS,07 JUN 1997,CUB,1270,High Jump [High Jump ind.]
11,Thiago MOURA,27 NOV 1995,BRA,1254,High Jump [High Jump ind.]
12,Norbert KOBIELSKI,28 JAN 1997,POL,1250,High Jump [High Jump ind.]
13,Fernando FERREIRA,13 DEC 1994,BRA,1244,High Jump [High Jump ind.]
14,Tobias POTYE,16 MAR 1995,GER,1238,High Jump [High Jump ind.]
15,Mateusz PRZYBYLKO,09 MAR 1992,GER,1231,High Jump
16,Loïc GASCH,13 AUG 1994,SUI,1230,High Jump [High Jump ind.]
17,Ilya IVANYUK,09 MAR 1993,ANA,1230,High Jump [High Jump ind.]
18,Yonathan KAPITOLNIK,25 NOV 2002,ISR,1228,High Jump
19,Edgar RIVERA,13 FEB 1991,MEX,1223,High Jump [High Jump ind.]
20,Joel BADEN,01 FEB 1996,AUS,1220,High Jump
21,Thomas CARMOY,16 FEB 2000,BEL,1219,High Jump [High Jump ind.]
22,Brandon STARC,24 NOV 1993,AUS,1217,High Jump
23,Oleh DOROSHCHUK,04 JUL 2001,UKR,1209,High Jump [High Jump ind.]
24,Donald THOMAS,01 JUL 1984,BAH,1206,High Jump [High Jump ind.]
25,Ryoichi AKAMATSU,02 MAY 1995,JPN,1201,High Jump
26,Marco FASSINOTTI,29 APR 1989,ITA,1197,High Jump
27,Majd Eddin GHAZAL,21 APR 1987,SYR,1192,High Jump [High Jump ind.]
28,Joel CLARKE-KHAN,30 SEP 1999,GBR,1186,High Jump
29,Vernon TURNER,21 AUG 1998,USA,1180,High Jump [High Jump ind.]
30,Darius CARBIN,04 MAR 1998,USA,1174,High Jump [High Jump ind.]
31,Yual REATH,18 MAY 2000,AUS,1171,High Jump
32,Douwe AMELS,16 SEP 1991,NED,1171,High Jump
33,Juozas BAIKŠTYS,18 MAR 1998,LTU,1170,High Jump [High Jump ind.]
34,Dontavious HILL,18 FEB 2000,USA,1167,High Jump [High Jump ind.]
35,Yuto SEKO,16 MAR 1998,JPN,1164,High Jump [High Jump ind.]
36,Sarvesh Anil KUSHARE,17 JUN 1995,IND,1163,High Jump
37,Tejaswin SHANKAR,21 DEC 1998,IND,1161,High Jump [High Jump ind.]
38,Carlos LAYOY,26 FEB 1991,ARG,1159,High Jump [High Jump ind.]
39,Nikita KURBANOV,13 APR 1999,RUS,1156,High Jump [High Jump ind.]
40,Jan ŠTEFELA,20 APR 2001,CZE,1156,High Jump [High Jump ind.]
41,David SMITH,14 JUL 1991,GBR,1155,High Jump [High Jump ind.]
42,Tihomir IVANOV,11 JUL 1994,BUL,1154,High Jump
43,Mateusz KOŁODZIEJSKI,22 JUN 2002,POL,1153,High Jump [High Jump ind.]
44,Trey CULVER,18 JUL 1996,USA,1153,High Jump [High Jump ind.]
45,Luis CASTRO RIVERA,29 JAN 1991,PUR,1152,High Jump
46,Péter BAKOSI,23 JUN 1993,HUN,1150,High Jump [High Jump ind.]
47,Antonios MERLOS,04 APR 1999,GRE,1148,High Jump
48,Maksim NEDASEKAU,21 JAN 1998,BLR,1146,High Jump
49,Nathan ISMAR,30 MAR 1999,FRA,1144,High Jump
50,Gerson BALDÉ,28 JAN 2000,POR,1143,High Jump [High Jump ind.]
51,Jonas WAGNER,29 MAY 1997,GER,1141,High Jump [High Jump ind.]
52,Ushan Thiwanka PERERA,22 JAN 1998,SRI,1140,High Jump [High Jump ind.]
53,Guobiao WU,07 AUG 2002,CHN,1138,High Jump
54,Dzmitry NABOKAU,20 JAN 1996,BLR,1138,High Jump [High Jump ind.]
55,Lushane WILSON,11 SEP 1998,JAM,1137,High Jump
56,Matvey RUDNIK,08 JUN 1999,RUS,1136,High Jump [High Jump ind.]
57,Nauraj Singh RANDHAWA,27 JAN 1992,MAS,1134,High Jump [High Jump ind.]
58,Sou SHIBUYA,30 JUN 1998,JPN,1134,High Jump
59,Mpho LINKS,20 JUN 1996,RSA,1132,High Jump
60,Andrei CHURYLA,19 MAY 1993,BLR,1132,High Jump [High Jump ind.]
61,Corvell TODD,26 MAY 2000,USA,1131,High Jump [High Jump ind.]
62,Christian FALOCCHI,30 JAN 1997,ITA,1131,High Jump [High Jump ind.]
63,Josef ADÁMEK,07 JUL 1997,CZE,1130,High Jump
64,Naoto HASEGAWA,15 NOV 1996,JPN,1129,High Jump [High Jump ind.]
65,Carlos ROJAS,10 APR 1995,ESP,1128,High Jump
66,Sébastien MICHEAU,03 MAY 1998,FRA,1128,High Jump
67,Romaine BECKFORD,09 JUL 2002,JAM,1127,High Jump [High Jump ind.]
68,Earnest SEARS,04 DEC 1998,USA,1125,High Jump [High Jump ind.]
69,Brian RAATS,17 JAN 2004,RSA,1123,High Jump
70,Silvano CHESANI,17 JUL 1988,ITA,1120,High Jump
71,Pavel SELIVERSTAU,02 SEP 1996,BLR,1119,High Jump [High Jump ind.]
72,Hichem BOUHANOUN,01 JAN 1997,ALG,1117,High Jump
73,Shaun MILLER JR.,30 JUL 2001,BAH,1117,High Jump
74,Adrijus GLEBAUSKAS,20 NOV 1994,LTU,1115,High Jump [High Jump ind.]
75,Roberto VILCHES,21 MAY 1999,MEX,1114,High Jump [High Jump ind.]
76,Manuel LANDO,04 AUG 2000,ITA,1113,High Jump
77,Vasilios KONSTANTINOU,13 SEP 1992,CYP,1112,High Jump
78,Kudakwashe CHADENGA,28 OCT 2002,ZIM,1112,High Jump [High Jump ind.]
79,Trey ALLEN,20 NOV 2000,USA,1111,High Jump [High Jump ind.]
80,Vadim KRAVCHUK,28 OCT 1996,UKR,1110,High Jump [High Jump ind.]
81,Bilel AFER,11 FEB 2001,ALG,1107,High Jump
82,Melwin LYCKE-HOLM,12 OCT 2004,SWE,1106,High Jump [High Jump ind.]
83,William GRIMSEY,14 DEC 1996,GBR,1106,High Jump [High Jump ind.]
84,Marek BAHNÍK,10 MAY 1999,CZE,1104,High Jump [High Jump ind.]
85,Seung-hyun YUN,01 JUN 1994,KOR,1102,High Jump
86,Mathew SAWE,02 JUL 1988,KEN,1102,High Jump
87,Nicolás NUMAIR,06 MAY 2002,CHI,1102,High Jump
88,Jin-woo CHOI,18 JAN 2005,KOR,1100,High Jump
89,Ryo SATO,21 JUL 1994,JPN,1100,High Jump
90,Bryson DEBERRY,USA,1099,High Jump [High Jump ind.],
91,Mayson CONNER,29 JUL 1999,USA,1096,High Jump [High Jump ind.]
92,Nikita ANISHCHENKOV,25 JUL 1992,RUS,1096,High Jump
93,Elijah KOSIBA,USA,1096,High Jump [High Jump ind.],
94,Daniel KOSONEN,17 SEP 2000,FIN,1095,High Jump [High Jump ind.]
95,Jef VERMEIREN,20 DEC 2000,BEL,1094,High Jump
96,Sergey MOROZOV,06 OCT 1999,RUS,1094,High Jump [High Jump ind.]
97,Omamuyovwi ERHIRE,16 AUG 2002,NGR,1093,High Jump [High Jump ind.]
98,Jamal WILSON,01 SEP 1988,BAH,1089,High Jump [High Jump ind.]
99,Gilmar DEVINSON CORREA,19 SEP 1993,COL,1089,High Jump
100,Kelechi AGUOCHA,10 FEB 2001,GBR,1089,High Jump [High Jump ind.]
