1,Anderson PETERS,21 OCT 1997,GRN,1456,Javelin Throw
2,Neeraj CHOPRA,24 DEC 1997,IND,1437,Javelin Throw
3,Jakub VADLEJCH,10 OCT 1990,CZE,1418,Javelin Throw
4,Julian WEBER,29 AUG 1994,GER,1381,Javelin Throw
5,Keshorn WALCOTT,02 APR 1993,TTO,1298,Javelin Throw
6,Curtis THOMPSON,08 FEB 1996,USA,1289,Javelin Throw
7,Oliver HELANDER,01 JAN 1997,FIN,1277,Javelin Throw
8,Andrian MARDARE,20 JUN 1995,MDA,1269,Javelin Throw
9,Lassi ETELÄTALO,30 APR 1988,FIN,1264,Javelin Throw
10,Vítězslav VESELÝ,27 FEB 1983,CZE,1233,Javelin Throw
11,Roderick Genki DEAN,30 DEC 1991,JPN,1230,Javelin Throw
12,Ihab ABDELRAHMAN,01 MAY 1989,EGY,1224,Javelin Throw
13,Patriks GAILUMS,10 MAY 1998,LAT,1223,Javelin Throw
14,Julius YEGO,04 JAN 1989,KEN,1220,Javelin Throw
15,Leandro RAMOS,21 SEP 2000,POR,1202,Javelin Throw
16,Aliaksei KATKAVETS,07 JUN 1998,BLR,1199,Javelin Throw
17,Rohit YADAV,06 JUN 2001,IND,1196,Javelin Throw
18,Ethan DABBS,23 JUN 1999,USA,1185,Javelin Throw
19,Toni KERÄNEN,16 JUN 1998,FIN,1182,Javelin Throw
20,Andreas HOFMANN,16 DEC 1991,GER,1180,Javelin Throw
21,Cameron MCENTYRE,10 FEB 1999,AUS,1180,Javelin Throw
22,Manu QUIJERA,13 JAN 1998,ESP,1180,Javelin Throw
23,D.P MANU,24 JAN 2000,IND,1179,Javelin Throw
24,Toni KUUSELA,21 JAN 1994,FIN,1176,Javelin Throw
25,Rolands ŠTROBINDERS,14 APR 1992,LAT,1171,Javelin Throw
26,Alexandru Mihaita NOVAC,24 MAR 1997,ROU,1161,Javelin Throw
27,Boris BEZDOLNIY,01 APR 1997,RUS,1155,Javelin Throw
28,Luiz Mauricio DA SILVA,17 JAN 2000,BRA,1155,Javelin Throw
29,Waldo SMIT,12 MAY 1999,RSA,1151,Javelin Throw
30,Tim GLOVER,01 NOV 1990,USA,1150,Javelin Throw
31,Kenji OGURA,08 JUN 1995,JPN,1150,Javelin Throw
32,Artur FELFNER,17 OCT 2003,UKR,1149,Javelin Throw
33,Cruz HOGAN,22 FEB 1994,AUS,1144,Javelin Throw
34,Gatis ČAKŠS,13 JUN 1995,LAT,1144,Javelin Throw
35,David CARREON,23 MAR 1994,MEX,1144,Javelin Throw
36,Pedro Henrique RODRIGUES,18 JUN 1999,BRA,1140,Javelin Throw
37,Kim AMB,31 JUL 1990,SWE,1136,Javelin Throw
38,Johan GROBLER,06 AUG 1997,RSA,1134,Javelin Throw
39,Billy JULIO LÓPEZ,14 FEB 1996,COL,1130,Javelin Throw
40,Chinecherem NNAMDI,12 JUL 2002,NGR,1129,Javelin Throw
