1,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1452,Long Jump [Long Jump ind.]
2,Maykel MASSÓ,08 MAY 1999,CUB,1358,Long Jump
3,Marquis DENDY,17 NOV 1992,USA,1349,Long Jump [Long Jump ind.]
4,Simon EHAMMER,07 FEB 2000,SUI,1321,Long Jump
5,Thobias MONTLER,15 FEB 1996,SWE,1321,Long Jump [Long Jump ind.]
6,. SREESHANKAR,27 MAR 1999,IND,1281,Long Jump
7,Steffin MCCARTER,19 JAN 1997,USA,1271,Long Jump [Long Jump ind.]
8,Emiliano LASA,25 JAN 1990,URU,1264,Long Jump [Long Jump ind.]
9,Eusebio CÁCERES,10 SEP 1991,ESP,1262,Long Jump
10,Tajay GAYLE,02 AUG 1996,JAM,1249,Long Jump
11,Christopher MITREVSKI,12 JUL 1996,AUS,1245,Long Jump
12,LaQuan NAIRN,31 JUL 1996,BAH,1243,Long Jump [Long Jump ind.]
13,Henry FRAYNE,14 APR 1990,AUS,1239,Long Jump
14,Jose MANDROS MARTINEZ,12 NOV 1998,PER,1238,Long Jump [Long Jump ind.]
15,Yuki HASHIOKA,23 JAN 1999,JPN,1235,Long Jump
16,Wayne PINNOCK,24 OCT 2000,JAM,1233,Long Jump [Long Jump ind.]
17,William WILLIAMS,31 JAN 1995,USA,1228,Long Jump
18,Jovan VAN VUUREN,17 JUL 1996,RSA,1226,Long Jump
19,Radek JUŠKA,08 MAR 1993,CZE,1223,Long Jump
20,Jules POMMERY,22 JAN 2001,FRA,1220,Long Jump
21,Cheswill JOHNSON,30 SEP 1997,RSA,1207,Long Jump [Long Jump ind.]
22,Filip PRAVDICA,28 JUL 1995,CRO,1207,Long Jump
23,Héctor SANTOS,06 JAN 1998,ESP,1198,Long Jump
24,Erwan KONATE,18 APR 2003,FRA,1196,Long Jump [Long Jump ind.]
25,Muhammed Anees YAHIYA,03 DEC 1995,IND,1196,Long Jump
26,Natsuki YAMAKAWA,24 JUL 1995,JPN,1195,Long Jump
27,Jeswin ALDRIN,24 DEC 2001,IND,1193,Long Jump
28,Shawn-D THOMPSON,20 JAN 1997,JAM,1191,Long Jump
29,Jacob FINCHAM-DUKES,12 JAN 1997,GBR,1191,Long Jump
30,Arnovis DALMERO,23 SEP 2000,COL,1186,Long Jump
31,Thalosang TSHIRELETSO,14 MAY 1991,BOT,1186,Long Jump
32,Henrik FLÅTNES,26 DEC 2001,NOR,1182,Long Jump [Long Jump ind.]
33,Hiromichi YOSHIDA,08 AUG 1999,JPN,1180,Long Jump
34,Augustin BEY,06 JUN 1995,FRA,1177,Long Jump [Long Jump ind.]
35,Rayvon GREY,02 DEC 1997,USA,1174,Long Jump [Long Jump ind.]
36,Lazar ANIĆ,14 DEC 1991,SRB,1174,Long Jump [Long Jump ind.]
37,Tristan JAMES,28 AUG 1997,DMA,1174,Long Jump
38,Jeremiah DAVIS,31 AUG 2001,USA,1173,Long Jump
39,Marko ČEKO,03 AUG 2000,CRO,1172,Long Jump
40,Piotr TARKOWSKI,10 AUG 1999,POL,1171,Long Jump [Long Jump ind.]
41,Reynold BANIGO,13 AUG 1998,GBR,1168,Long Jump
42,Hibiki TSUHA,21 JAN 1998,JPN,1167,Long Jump
43,Kristian PULLI,02 SEP 1994,FIN,1164,Long Jump
44,Gabriel BITAN,23 JUL 1998,ROU,1163,Long Jump
45,Isaac GRIMES,07 FEB 1998,USA,1159,Long Jump [Long Jump ind.]
46,Samory FRAGA,29 NOV 1996,BRA,1157,Long Jump [Long Jump ind.]
47,Valentin TOBOC,17 MAR 1992,ROU,1157,Long Jump [Long Jump ind.]
48,Maximilian ENTHOLZNER,18 AUG 1994,GER,1156,Long Jump [Long Jump ind.]
49,Carey MCLEOD,14 APR 1998,JAM,1156,Long Jump [Long Jump ind.]
50,Lester Alcides LESCAY GAY,15 OCT 2001,CUB,1155,Long Jump [Long Jump ind.]
51,Emanuel ARCHIBALD,09 SEP 1994,GUY,1155,Long Jump
52,Dhanushka SANDARUWAN,15 APR 1994,SRI,1151,Long Jump
53,Tom CAMPAGNE,14 NOV 2000,FRA,1150,Long Jump [Long Jump ind.]
54,Mattia FURLANI,07 FEB 2005,ITA,1148,Long Jump
55,A'Nan BRIDGETT,07 APR 2000,USA,1147,Long Jump [Long Jump ind.]
56,Aleksandr MENKOV,07 DEC 1990,RUS,1145,Long Jump [Long Jump ind.]
57,Johnny BRACKINS,29 JUL 2003,USA,1145,Long Jump [Long Jump ind.]
58,Yu-Tang LIN,11 MAY 2000,TPE,1142,Long Jump
59,Jhon Andres BERRIO,26 MAR 2002,COL,1141,Long Jump
60,Daiki ODA,15 JAN 1996,JPN,1140,Long Jump
61,Danil CHECHELA,30 MAR 2000,RUS,1140,Long Jump [Long Jump ind.]
62,Jack ROACH,08 JAN 1995,GBR,1139,Long Jump
63,Alejandro A. PARADA,05 JUL 2004,CUB,1139,Long Jump
64,Gabriel Luiz BOZA,07 MAR 2003,BRA,1139,Long Jump [Long Jump ind.]
65,Mikita LAPATSENKA,06 JUN 1995,BLR,1139,Long Jump [Long Jump ind.]
66,Lucas Marcelino DOS SANTOS,04 JAN 1995,BRA,1136,Long Jump
67,Carter SHELL,18 JUN 1999,USA,1134,Long Jump [Long Jump ind.]
68,Benjamin GFÖHLER,27 JAN 1994,SUI,1134,Long Jump [Long Jump ind.]
69,Alexsandro MELO,26 SEP 1995,BRA,1132,Long Jump
70,Brandon HICKLIN,USA,1132,Long Jump [Long Jump ind.],
71,Jean-Pierre BERTRAND,05 NOV 1992,FRA,1132,Long Jump [Long Jump ind.]
72,Serhiy NYKYFOROV,06 FEB 1994,UKR,1131,Long Jump
73,Changzhou HUANG,20 AUG 1994,CHN,1128,Long Jump [Long Jump ind.]
74,Weslley BERALDO,11 MAR 1999,BRA,1128,Long Jump
75,Strahinja JOVANČEVIĆ,28 FEB 1993,SRB,1128,Long Jump [Long Jump ind.]
76,Ingar KIPLESUND,15 NOV 1996,NOR,1126,Long Jump [Long Jump ind.]
77,Anvar ANVAROV,22 OCT 2000,UZB,1124,Long Jump [Long Jump ind.]
78,Iker AROTZENA,10 NOV 2001,ESP,1123,Long Jump
79,Jingqiang ZHANG,08 MAY 1996,CHN,1122,Long Jump [Long Jump ind.]
80,Hans-Christian HAUSENBERG,18 SEP 1998,EST,1122,Long Jump [Long Jump ind.]
81,Stacy BROWN,2002,USA,1122,Long Jump [Long Jump ind.]
82,Danil KORNEV,13 NOV 2002,RUS,1121,Long Jump [Long Jump ind.]
83,James CARTER,USA,1120,Long Jump,
84,Isaiah HOLMES,18 OCT 1998,USA,1120,Long Jump [Long Jump ind.]
85,Liam ADCOCK,21 JUN 1996,AUS,1118,Long Jump
86,Yuto TORIUMI,04 OCT 2001,JPN,1117,Long Jump
87,Ulisses Mateus SILVA COSTA,11 FEB 1996,BRA,1117,Long Jump
88,Fabian HEINLE,14 MAY 1994,GER,1116,Long Jump [Long Jump ind.]
89,Shoutarou SHIROYAMA,06 MAR 1995,JPN,1116,Long Jump [Long Jump ind.]
90,Zane BRANCO,04 JAN 2000,AUS,1114,Long Jump
91,Kristóf PAP,16 SEP 1998,HUN,1112,Long Jump
92,Keito YAMAURA,09 NOV 2000,JPN,1112,Long Jump
93,Mohammad Amin ALSALAMI,25 JUL 1994,SYR,1112,Long Jump [Long Jump ind.]
94,Oscar MIERS,21 NOV 2001,AUS,1111,Long Jump
95,Chia-Hsing LIN,13 JUL 1999,TPE,1110,Long Jump
96,Ming Tai CHAN,30 JAN 1995,HKG,1108,Long Jump
97,Artyom CHERMOSHANSKIY,07 FEB 2001,RUS,1108,Long Jump [Long Jump ind.]
98,Thapelo MONAIWA,18 FEB 1998,BOT,1108,Long Jump
99,Janry UBAS,02 JAN 1994,PHI,1108,Long Jump
100,Samuel KHOGALI,15 JUL 1997,GBR,1107,Long Jump
