1,Eliud KIPCHOGE,05 NOV 1984,KEN,1488,Marathon
2,Tamirat TOLA,11 AUG 1991,ETH,1471,Marathon
3,Mosinet GEREMEW,12 FEB 1992,ETH,1427,Marathon
4,Amos KIPRUTO,16 SEP 1992,KEN,1413,Marathon
5,Seifu TURA,19 JUN 1997,ETH,1386,Marathon
6,Bashir ABDI,10 FEB 1989,BEL,1381,Marathon
7,Gabriel Gerald GEAY,10 SEP 1996,TAN,1373,Marathon
8,Leul GEBRESILASE,20 SEP 1992,ETH,1372,Marathon
9,Benson KIPRUTO,17 MAR 1991,KEN,1369,Marathon
10,Lawrence CHERONO,07 AUG 1988,KEN,1363,Marathon
11,Evans CHEBET,10 NOV 1988,KEN,1358,Marathon
12,Tsegaye GETACHEW,30 NOV 1996,ETH,1354,Marathon
13,Sisay LEMMA,12 DEC 1990,ETH,1350,Marathon
14,Geoffrey KAMWOROR,22 NOV 1992,KEN,1350,Marathon
15,Kelvin KIPTUM,02 DEC 1999,KEN,1347,Marathon [Half Marathon]
16,Bernard Kiprop KOECH,31 JAN 1988,KEN,1347,Marathon
17,Deso GELMISA,14 DEC 1997,ETH,1345,Marathon
18,Daniel DO NASCIMENTO,28 JUL 1998,BRA,1344,Marathon
19,Mark KORIR,10 JAN 1985,KEN,1335,Marathon
20,Titus KIPRUTO,25 JUN 1998,KEN,1327,Marathon
21,Kenenisa BEKELE,13 JUN 1982,ETH,1321,Marathon
22,Herpasa NEGASA,11 SEP 1993,ETH,1317,Marathon
23,Kinde ATANAW,15 APR 1993,ETH,1315,Marathon
24,Deme Tadu ABATE,11 SEP 1997,ETH,1311,Marathon
25,Alexander Mutiso MUNYAO,10 SEP 1996,KEN,1310,Marathon [Half Marathon]
26,Shura KITATA,09 JUN 1996,ETH,1309,Marathon
27,Kengo SUZUKI,11 JUN 1995,JPN,1308,Marathon
28,Moses KIBET,04 FEB 1997,KEN,1305,Marathon
29,Birhanu LEGESE,11 SEP 1994,ETH,1304,Marathon
30,Albert KORIR,02 MAR 1994,KEN,1296,Marathon
31,Abdi NAGEEYE,02 MAR 1989,NED,1291,Marathon
32,Laban Kipngetich KORIR,30 JUN 1985,KEN,1290,Marathon
33,Adeledelew MAMO,1999,ETH,1289,Marathon
34,Andualem Belay SHIFERAW,05 APR 1992,ETH,1288,Marathon
35,Eric Kiprono KIPTANUI,19 APR 1990,KEN,1287,Marathon
36,Yihunilign ADANE,29 FEB 1996,ETH,1287,Marathon
37,Goitom KIFLE,03 DEC 1993,ERI,1286,Marathon
