1,Armand DUPLANTIS,10 NOV 1999,SWE,1601,Pole Vault [Pole Vault ind.]
2,Christopher NILSEN,13 JAN 1998,USA,1430,Pole Vault [Pole Vault ind.]
3,Ernest John OBIENA,17 NOV 1995,PHI,1394,Pole Vault [Pole Vault ind.]
4,Thiago BRAZ,16 DEC 1993,BRA,1394,Pole Vault [Pole Vault ind.]
5,Renaud LAVILLENIE,18 SEP 1986,FRA,1382,Pole Vault
6,Sondre GUTTORMSEN,01 JUN 1999,NOR,1361,Pole Vault
7,Bo Kanda LITA BAEHRE,29 APR 1999,GER,1350,Pole Vault [Pole Vault ind.]
8,Ben BROEDERS,21 JUN 1995,BEL,1344,Pole Vault [Pole Vault ind.]
9,Pål Haugen LILLEFOSSE,04 JUN 2001,NOR,1344,Pole Vault
10,Oleg ZERNIKEL,16 APR 1995,GER,1320,Pole Vault [Pole Vault ind.]
11,Valentin LAVILLENIE,16 JUL 1991,FRA,1310,Pole Vault [Pole Vault ind.]
12,Menno VLOON,11 MAY 1994,NED,1305,Pole Vault [Pole Vault ind.]
13,Jacob WOOTEN,22 APR 1997,USA,1305,Pole Vault [Pole Vault ind.]
14,Rutger KOPPELAAR,01 MAY 1993,NED,1300,Pole Vault
15,Thibaut COLLET,17 JUN 1999,FRA,1299,Pole Vault
16,Kurtis MARSCHALL,25 APR 1997,AUS,1299,Pole Vault [Pole Vault ind.]
17,Ersu ŞAŞMA,30 SEP 1999,TUR,1283,Pole Vault [Pole Vault ind.]
18,KC LIGHTFOOT,11 NOV 1999,USA,1280,Pole Vault [Pole Vault ind.]
19,Piotr LISEK,16 AUG 1992,POL,1273,Pole Vault [Pole Vault ind.]
20,Clayton FRITSCH,29 DEC 1998,USA,1267,Pole Vault [Pole Vault ind.]
21,Matt LUDWIG,05 JUL 1996,USA,1264,Pole Vault [Pole Vault ind.]
22,Anthony AMMIRATI,16 JUL 2003,FRA,1258,Pole Vault
23,Emmanouil KARALIS,20 OCT 1999,GRE,1251,Pole Vault [Pole Vault ind.]
24,Harry COPPELL,11 JUL 1996,GBR,1247,Pole Vault [Pole Vault ind.]
25,Zach MCWHORTER,07 JAN 1999,USA,1247,Pole Vault [Pole Vault ind.]
26,Nate RICHARTZ,02 NOV 1994,USA,1247,Pole Vault [Pole Vault ind.]
27,Simen GUTTORMSEN,19 JAN 2001,NOR,1231,Pole Vault
28,Germán CHIARAVIGLIO,16 APR 1987,ARG,1227,Pole Vault
29,Hussein Assem AL HIZAM,04 JAN 1998,KSA,1225,Pole Vault [Pole Vault ind.]
30,Luke WINDER,02 AUG 1995,USA,1219,Pole Vault
31,Ethan CORMONT,29 SEP 2000,FRA,1218,Pole Vault [Pole Vault ind.]
32,Torben BLECH,12 FEB 1995,GER,1216,Pole Vault [Pole Vault ind.]
33,Austin MILLER,01 JUN 1994,USA,1214,Pole Vault [Pole Vault ind.]
34,Olen Tray OATES,14 MAR 1995,USA,1214,Pole Vault [Pole Vault ind.]
35,Timur MORGUNOV,12 OCT 1996,ANA,1211,Pole Vault [Pole Vault ind.]
36,Bokai HUANG,26 SEP 1996,CHN,1211,Pole Vault [Pole Vault ind.]
37,Baptiste THIERY,29 JUN 2001,FRA,1210,Pole Vault
38,Seito YAMAMOTO,11 MAR 1992,JPN,1209,Pole Vault [Pole Vault ind.]
39,Dominik ALBERTO,28 APR 1992,SUI,1208,Pole Vault
40,Mikko PAAVOLA,16 JAN 1998,FIN,1207,Pole Vault [Pole Vault ind.]
41,Dmitriy KACHANOV,08 JAN 2001,RUS,1207,Pole Vault [Pole Vault ind.]
42,Urho KUJANPÄÄ,18 MAY 1997,FIN,1207,Pole Vault [Pole Vault ind.]
43,Robert SOBERA,19 JAN 1991,POL,1204,Pole Vault [Pole Vault ind.]
44,Robert RENNER,08 MAR 1994,SLO,1200,Pole Vault [Pole Vault ind.]
45,Gillian LADWIG,03 DEC 1998,GER,1197,Pole Vault
46,Cole WALSH,14 JUN 1995,USA,1195,Pole Vault [Pole Vault ind.]
47,Mathieu COLLET,15 MAR 1995,FRA,1195,Pole Vault [Pole Vault ind.]
48,Augusto DUTRA,16 JUL 1990,BRA,1189,Pole Vault [Pole Vault ind.]
49,Didac SALAS,19 MAY 1993,ESP,1188,Pole Vault [Pole Vault ind.]
50,Masaki EJIMA,06 MAR 1999,JPN,1187,Pole Vault
51,Riccardo KLOTZ,15 JAN 1999,AUT,1186,Pole Vault [Pole Vault ind.]
52,Max MANDUSIC,12 JUN 1998,ITA,1180,Pole Vault
53,Juho ALASAARI,29 SEP 2003,FIN,1179,Pole Vault [Pole Vault ind.]
54,Paweł WOJCIECHOWSKI,06 JUN 1989,POL,1178,Pole Vault [Pole Vault ind.]
55,Zachery BRADFORD,29 NOV 1999,USA,1176,Pole Vault [Pole Vault ind.]
56,Romain GAVILLON,04 NOV 1998,FRA,1173,Pole Vault [Pole Vault ind.]
57,Alex GRACIA,20 DEC 2000,ESP,1173,Pole Vault [Pole Vault ind.]
58,Tomoya KARASAWA,17 MAY 2002,JPN,1172,Pole Vault [Pole Vault ind.]
59,Carson Cody WATERS,05 JUN 1996,USA,1172,Pole Vault [Pole Vault ind.]
60,Adam HAGUE,29 AUG 1997,GBR,1171,Pole Vault
61,Mikhail SHMYKOV,15 FEB 2001,RUS,1168,Pole Vault [Pole Vault ind.]
