1,Jacob KIPLIMO,14 NOV 2000,UGA,1294,Half Marathon
2,Kibiwott KANDIE,20 JUN 1996,KEN,1268,"10 km Road,Half Marathon"
3,Daniel MATEIKO,04 AUG 1998,KEN,1268,Half Marathon
4,Rhonex KIPRUTO,12 OCT 1999,KEN,1261,"10 km Road,Half Marathon"
5,Amedework WALELEGN,11 MAR 1999,ETH,1261,Half Marathon
6,Rodgers KWEMOI,03 MAR 1998,KEN,1253,Half Marathon
7,Abel KIPCHUMBA,03 FEB 1994,KEN,1251,Half Marathon
8,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1248,"10 km Road,Half Marathon"
9,Yomif KEJELCHA,01 AUG 1997,ETH,1245,Half Marathon [5 km Road]
10,Kennedy KIMUTAI,03 JUN 1999,KEN,1243,"10 km Road,Half Marathon"
11,Felix KIPKOECH,01 FEB 1998,KEN,1243,"10 km Road,Half Marathon"
12,Nicholas KIPKORIR,29 SEP 1998,KEN,1242,10 km Road [5 km Road]
13,Tadese WORKU,20 JAN 2002,ETH,1241,"10 km Road,Half Marathon"
14,Philemon KIPLIMO,10 OCT 1998,KEN,1236,Half Marathon
15,Chala REGASA,30 APR 1997,ETH,1233,Half Marathon
16,Alexander Mutiso MUNYAO,10 SEP 1996,KEN,1232,Half Marathon
17,Mathew KIMELI,01 APR 1998,KEN,1231,Half Marathon
18,Milkesa MENGESHA,16 APR 2000,ETH,1227,Half Marathon
19,Weldon LANGAT,24 FEB 1998,KEN,1218,10 km Road
20,Domnic Lokinyomo LOBALU,16 AUG 1998,SSD,1218,"10 km Road,Half Marathon [5 km Road]"
21,Daniel Simiu EBENYO,18 SEP 1995,KEN,1215,"10 km Road,Half Marathon"
22,Haftu TEKLU,26 MAY 1995,ETH,1211,Half Marathon
23,Chimdessa DEBELE,13 SEP 2003,ETH,1211,"10 km Road,Half Marathon"
24,Edmond KIPNGETICH,30 MAR 1994,KEN,1206,Half Marathon
25,Vincent KIPKEMOI,03 JAN 1999,KEN,1205,Half Marathon
26,Emmanuel Moi MARU,04 JAN 2001,KEN,1205,Half Marathon [15 km Road]
27,Yasin HAJI,22 JAN 1996,ETH,1203,10 km Road
28,Mohamed ESA,11 SEP 2000,ETH,1202,Half Marathon
29,Geoffrey KOECH,28 AUG 1993,KEN,1199,"10 km Road,Half Marathon"
30,Ronald Kiprotich KIRUI,06 DEC 1998,KEN,1199,Half Marathon
31,Jemal Yimer MEKONNEN,11 SEP 1996,ETH,1198,Half Marathon [15 km Road]
32,Muktar EDRIS,14 JAN 1994,ETH,1198,Half Marathon [5 km Road]
33,Joshua BELET,10 FEB 1998,KEN,1198,Half Marathon
34,Boniface KIBIWOTT,1993,KEN,1196,"10 km Road,Half Marathon"
35,Joseph KARANJA,16 OCT 1999,KEN,1196,Half Marathon [15 km Road]
36,Tadese TAKELE,03 AUG 2002,ETH,1196,"10 km Road,Half Marathon"
37,Benard KIMELI,10 SEP 1995,KEN,1195,Half Marathon
38,Antenayeh DAGNACHEW,29 SEP 1998,ETH,1194,Half Marathon
39,Gemechu DIDA,12 SEP 1999,ETH,1193,"10 km Road,Half Marathon"
40,Alfred KIPCHIRCHIR,1994,KEN,1193,Half Marathon
41,Telahun Haile BEKELE,13 MAY 1999,ETH,1192,10 km Road [5 km Road]
42,Emmanuel BOR,25 DEC 1993,KEN,1189,"10 km Road,Half Marathon [15 km Road]"
43,Zerei Kbrom MEZNGI,12 JAN 1986,NOR,1187,"10 km Road,Half Marathon"
44,Wilfred KIMITEI,11 MAR 1985,KEN,1187,Half Marathon
45,Collins KOROS,27 DEC 1990,KEN,1186,"10 km Road,Half Marathon"
46,Josphat Kipkemboi KEMEI,15 JUN 1994,KEN,1184,Half Marathon
47,Isaac Kibet NDIEMA,05 FEB 1999,KEN,1183,10 km Road
48,Rodrigue KWIZERA,10 OCT 1999,BDI,1181,10 km Road
49,Isaac KIPKEMBOI,10 FEB 2000,KEN,1181,"10 km Road,Half Marathon"
50,Gerba DIBABA,14 OCT 2000,ETH,1176,Half Marathon
51,Sikiyas MISGANAW,29 APR 2000,ETH,1175,Half Marathon
52,Andrew Rotich KWEMOI,01 SEP 2000,UGA,1174,Half Marathon
53,Precious Lesiba MASHELE,13 OCT 1990,RSA,1173,"10 km Road,Half Marathon"
54,Josphat CHUMO,15 JUL 1996,KEN,1173,Half Marathon
55,Charles Kipkurui LANGAT,28 APR 1996,KEN,1172,Half Marathon [10 Miles Road]
56,Shadrack KIMINING,10 FEB 1996,KEN,1171,Half Marathon
57,Abe GASHAHUN,20 APR 1998,ETH,1170,Half Marathon
58,Tsegay KIDANU,28 DEC 2001,ETH,1168,"10 km Road,Half Marathon"
59,Moses KOECH,05 AUG 1997,KEN,1167,Half Marathon
60,Wisley KIBICHII,1993,KEN,1167,Half Marathon
61,Abraham CHEROBEN,11 OCT 1992,BRN,1167,Half Marathon
62,Isaac KIBET,05 MAY 1996,UGA,1167,"10 km Road,Half Marathon"
63,Elvis Kipchoge CHEBOI,29 SEP 1995,KEN,1166,Half Marathon
64,Tamirat TOLA,11 AUG 1991,ETH,1164,"10 km Road,Half Marathon"
65,Isaac KIPSANG,20 FEB 1999,KEN,1163,Half Marathon
66,David NGURE,10 AUG 1998,KEN,1162,Half Marathon
67,Vincent Kiprotich KIBET,19 MAR 1999,KEN,1160,"10 km Road,Half Marathon"
68,Ibrahim HASSAN,01 JAN 1997,DJI,1160,Half Marathon
69,Samsom AMARE,29 DEC 1998,ERI,1159,Half Marathon
70,Edward CHESEREK,02 FEB 1994,KEN,1158,Half Marathon
71,Abbabiya SIMBASSA,30 JUN 1993,USA,1157,Half Marathon [10 Miles Road]
72,Alfred BARKACH,02 MAR 1997,KEN,1155,Half Marathon [10 Miles Road]
73,Emile CAIRESS,27 DEC 1997,GBR,1154,"10 km Road,Half Marathon"
74,Solomon BERIHU,02 OCT 1999,ETH,1153,Half Marathon
75,Abeje AYANA,11 FEB 2003,ETH,1150,Half Marathon
76,Cornelius KEMBOI,29 FEB 2000,KEN,1150,10 km Road [5 km Road]
77,Samuel CHELANGA,23 FEB 1985,USA,1149,Half Marathon [10 Miles Road]
78,Dickson NYAKUNDI,12 APR 1995,KEN,1149,Half Marathon
79,Titus KIMUTAI,KEN,1148,Half Marathon,
80,Raymond MAGUT,KEN,1148,"10 km Road,Half Marathon",
81,Mogos TUEMAY,24 MAY 1997,ETH,1148,"10 km Road,Half Marathon"
82,Michael KAMAU,1992,KEN,1148,Half Marathon
83,Conner MANTZ,08 DEC 1996,USA,1147,"10 km Road,Half Marathon"
84,Pietro RIVA,01 MAY 1997,ITA,1146,"10 km Road,Half Marathon"
85,Namakoe NKHASI,10 JAN 1993,LES,1144,"10 km Road,Half Marathon"
86,Omar Ait CHITACHEN,15 MAR 1995,MAR,1144,Half Marathon
87,Samwel NYAMAE,07 FEB 1993,KEN,1142,Half Marathon
88,Charles MUNERIA,10 FEB 1996,KEN,1142,Half Marathon
89,Birhanu BALEW,27 FEB 1996,BRN,1141,"10 km Road,Half Marathon [5 km Road]"
90,Emmanuel KIPROP,21 AUG 1999,KEN,1141,10 km Road [10 Miles Road]
91,Stephen MOKOKA,31 JAN 1985,RSA,1140,"10 km Road,Half Marathon"
92,Maxwell ROTICH,05 AUG 1998,UGA,1140,Half Marathon
93,Enos KALES,10 JUL 1997,KEN,1139,Half Marathon
94,Abel Boniface SIKOWO,27 FEB 1999,UGA,1137,"10 km Road,Half Marathon [15 km Road]"
95,Diribi BOKI,ETH,1136,"10 km Road,Half Marathon",
96,Denis KIBET,06 JUL 1999,KEN,1136,"10 km Road,Half Marathon"
97,Vincent Kibor RAIMOI,16 JUL 1996,KEN,1136,Half Marathon
98,Geoffrey TOROITICH,KEN,1135,"10 km Road,Half Marathon [10 Miles Road]",
99,Kennedy KIPYEKO,15 DEC 1991,KEN,1135,"10 km Road,Half Marathon"
100,Carlos MAYO,18 SEP 1995,ESP,1135,"10 km Road,Half Marathon"
