1,Joe KOVACS,28 JUN 1989,USA,1510,Shot Put
2,Ryan CROUSER,18 DEC 1992,USA,1498,Shot Put [Shot Put ind.]
3,Tom WALSH,01 MAR 1992,NZL,1423,Shot Put [Shot Put ind.]
4,Darlan ROMANI,09 APR 1991,BRA,1390,Shot Put [Shot Put ind.]
5,Filip MIHALJEVIĆ,31 JUL 1994,CRO,1390,Shot Put [Shot Put ind.]
6,Josh AWOTUNDE,12 JUN 1995,USA,1375,Shot Put [Shot Put ind.]
7,Jacko GILL,20 DEC 1994,NZL,1372,Shot Put
8,Konrad BUKOWIECKI,17 MAR 1997,POL,1332,Shot Put [Shot Put ind.]
9,Adrian PIPERI,20 JAN 1999,USA,1319,Shot Put
10,Armin SINANČEVIĆ,14 AUG 1996,SRB,1315,Shot Put
11,Nick PONZIO,04 JAN 1995,ITA,1312,Shot Put [Shot Put ind.]
12,Darrell HILL,17 AUG 1993,USA,1300,Shot Put
13,Zane WEIR,07 SEP 1995,ITA,1299,Shot Put [Shot Put ind.]
14,Chukwuebuka Cornnell ENEKWECHI,28 JAN 1993,NGR,1293,Shot Put
15,Tomáš STANĚK,13 JUN 1991,CZE,1289,Shot Put [Shot Put ind.]
16,Michał HARATYK,10 APR 1992,POL,1278,Shot Put [Shot Put ind.]
17,Roger STEEN,17 MAY 1992,USA,1274,Shot Put
18,Marcus THOMSEN,07 JAN 1998,NOR,1248,Shot Put [Shot Put ind.]
19,Andrei Rares TOADER,26 MAY 1997,ROU,1244,Shot Put [Shot Put ind.]
20,Payton OTTERDAHL,02 APR 1996,USA,1238,Shot Put [Shot Put ind.]
21,Welington MORAIS,06 SEP 1996,BRA,1235,Shot Put
22,Leonardo FABBRI,15 APR 1997,ITA,1235,Shot Put [Shot Put ind.]
23,Scott LINCOLN,07 MAY 1993,GBR,1234,Shot Put [Shot Put ind.]
24,Mesud PEZER,27 AUG 1994,BIH,1230,Shot Put [Shot Put ind.]
25,Mohamed Magdi HAMZA,30 AUG 1996,EGY,1226,Shot Put
26,Jordan GEIST,21 JUL 1998,USA,1225,Shot Put [Shot Put ind.]
27,Uziel MUÑOZ,08 SEP 1995,MEX,1224,Shot Put
28,Asmir KOLAŠINAC,15 OCT 1984,SRB,1221,Shot Put [Shot Put ind.]
29,Turner WASHINGTON,10 FEB 1999,USA,1220,Shot Put [Shot Put ind.]
30,Roman KOKOSHKO,16 AUG 1996,UKR,1213,Shot Put
31,Giorgi MUJARIDZE,22 MAR 1998,GEO,1207,Shot Put [Shot Put ind.]
32,Bob BERTEMES,24 MAY 1993,LUX,1207,Shot Put [Shot Put ind.]
33,Kyle BLIGNAUT,09 NOV 1999,RSA,1206,Shot Put
