1,Pedro PICHARDO,30 JUN 1993,POR,1442,Triple Jump [Triple Jump ind.]
2,Andy DÍAZ HERNÁNDEZ,25 DEC 1995,CUB,1404,Triple Jump
3,Hugues Fabrice ZANGO,25 JUN 1993,BUR,1394,Triple Jump
4,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1373,Triple Jump [Triple Jump ind.]
5,Jordan Alejandro DÍAZ FORTUN,23 FEB 2001,ESP,1351,Triple Jump
6,Yaming ZHU,04 MAY 1994,CHN,1322,Triple Jump
7,Donald SCOTT,23 FEB 1992,USA,1311,Triple Jump [Triple Jump ind.]
8,Almir DOS SANTOS,04 SEP 1993,BRA,1310,Triple Jump
9,Andrea DALLAVALLE,31 OCT 1999,ITA,1301,Triple Jump
10,Jean-Marc PONTVIANNE,06 AUG 1994,FRA,1280,Triple Jump [Triple Jump ind.]
11,Emmanuel IHEMEJE,09 OCT 1998,ITA,1272,Triple Jump
12,Will CLAYE,13 JUN 1991,USA,1253,Triple Jump [Triple Jump ind.]
13,Eldhose PAUL,07 NOV 1996,IND,1236,Triple Jump
14,Jah-Nhai PERINCHIEF,31 DEC 1997,BER,1234,Triple Jump [Triple Jump ind.]
15,Christian TAYLOR,18 JUN 1990,USA,1234,Triple Jump
16,Tobia BOCCHI,07 APR 1997,ITA,1233,Triple Jump
17,Chris BENARD,09 APR 1990,USA,1230,Triple Jump
18,Max HEß,13 JUL 1996,GER,1224,Triple Jump [Triple Jump ind.]
19,Enzo HODEBAR,17 MAY 1999,FRA,1219,Triple Jump [Triple Jump ind.]
20,Leodan TORREALBA,26 DEC 1996,VEN,1218,Triple Jump [Triple Jump ind.]
21,Tiago PEREIRA,19 SEP 1993,POR,1218,Triple Jump
22,Alexsandro MELO,26 SEP 1995,BRA,1215,Triple Jump [Triple Jump ind.]
23,Marcos RUIZ,10 MAR 1995,ESP,1203,Triple Jump
24,Abdulla NARANGOLINTEVIDA,17 JAN 1996,IND,1202,Triple Jump
25,Chengetayi MAPAYA,19 DEC 1998,ZIM,1198,Triple Jump [Triple Jump ind.]
26,Melvin RAFFIN,09 AUG 1998,FRA,1191,Triple Jump [Triple Jump ind.]
27,Praveen CHITHRAVEL,05 JUN 2001,IND,1190,Triple Jump
28,Nazim BABAYEV,08 OCT 1997,AZE,1189,Triple Jump [Triple Jump ind.]
29,Ben WILLIAMS,25 JAN 1992,GBR,1189,Triple Jump
30,Jordan SCOTT,29 JUN 1997,JAM,1188,Triple Jump
31,Jaydon HIBBERT,17 JAN 2005,JAM,1183,Triple Jump
32,Andy Eugenio HECHAVARRÍA,14 SEP 2000,CUB,1176,Triple Jump
33,Thomas GOGOIS,24 JUN 2000,FRA,1176,Triple Jump [Triple Jump ind.]
34,Mateus DE SÁ,21 NOV 1995,BRA,1175,Triple Jump [Triple Jump ind.]
35,Benjamin COMPAORÉ,05 AUG 1987,FRA,1175,Triple Jump [Triple Jump ind.]
36,Chris CARTER,11 MAR 1989,USA,1168,Triple Jump [Triple Jump ind.]
37,Andreas PANTAZIS,04 JUN 2000,GRE,1167,Triple Jump [Triple Jump ind.]
38,Dimitrios TSIAMIS,12 JAN 1982,GRE,1167,Triple Jump [Triple Jump ind.]
39,Alexis COPELLO,12 AUG 1985,AZE,1166,Triple Jump
40,Simo LIPSANEN,13 SEP 1995,FIN,1164,Triple Jump [Triple Jump ind.]
41,Jang-woo KIM,20 AUG 1999,KOR,1161,Triple Jump
42,Maksim NIASTSIARENKA,01 SEP 1992,BLR,1161,Triple Jump [Triple Jump ind.]
43,Pablo TORRIJOS,12 MAY 1992,ESP,1158,Triple Jump
44,Geiner MORENO,24 JUN 2000,COL,1158,Triple Jump
45,Ayo ORE,23 APR 1997,AUS,1152,Triple Jump
46,Nikolaos ANDRIKOPOULOS,17 APR 1997,GRE,1152,Triple Jump [Triple Jump ind.]
47,Karthik UNNIKRISHNAN,03 JUN 1993,IND,1152,Triple Jump
