,id,date,competition,venue,indoor,disciplineCode,disciplineNameUrlSlug,typeNameUrlSlug,discipline,country,category,race,place,mark,wind,notLegal,resultScore,remark,__typename
0,14550669,17 NOV 2012,"Nathan QA All Comers Meet, Nathan",Nathan (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F2,5.,11.59,+1.3,False,720,,resultsByDateResults
1,14550669,03 DEC 2012,"Launceston Schools Knockout National Final, Launceston - U16 Events",Launceston (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,1.,6.63,+2.9,True,826,,resultsByDateResults
2,14550669,23 FEB 2013,"Brisbane Queensland U16 Ch., Brisbane",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,H1,1.,11.43,+0.4,False,764,,resultsByDateResults
3,14550669,23 FEB 2013,"Brisbane Queensland U16 Ch., Brisbane",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F,1.,11.25,+1.6,False,814,,resultsByDateResults
4,14550669,24 FEB 2013,"Brisbane Queensland U16 Ch., Brisbane",Brisbane (AUS),False,200,200-metres,sprints,200 Metres,AUS,F,H2,1.,23.51,+0.2,False,730,,resultsByDateResults
5,14550669,24 FEB 2013,"Brisbane Queensland U16 Ch., Brisbane",Brisbane (AUS),False,200,200-metres,sprints,200 Metres,AUS,F,F,2.,23.20,+1.1,False,768,,resultsByDateResults
6,14550669,24 FEB 2013,"Brisbane Queensland U16 Ch., Brisbane",Brisbane (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,1.,6.40,+3.0,True,776,,resultsByDateResults
7,14550669,24 FEB 2013,"Brisbane Queensland U16 Ch., Brisbane",Brisbane (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,,6.37,+1.4,False,788,,resultsByDateResults
8,14550669,15 MAR 2013,"Perth Australian U16 Ch., Perth",Perth (AUS),False,TJ,triple-jump,jumps,Triple Jump,AUS,F,F,2.,13.70,-0.2,False,819,,resultsByDateResults
9,14550669,17 MAR 2013,"Perth Australian U16 Ch., Perth",Perth (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,H1,3.,11.30,+0.2,False,800,,resultsByDateResults
10,14550669,17 MAR 2013,"Perth Australian U16 Ch., Perth",Perth (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F,3.,11.26,+2.3,True,798,,resultsByDateResults
11,14550669,17 MAR 2013,"Perth Australian U16 Ch., Perth",Perth (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,1.,6.84,-0.9,False,893,,resultsByDateResults
12,14550669,27 SEP 2013,"Brisbane School Holiday All Comers Meet, Brisbane",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F2,2.,11.52,+1.4,False,739,,resultsByDateResults
13,14550669,27 SEP 2013,"Brisbane School Holiday All Comers Meet, Brisbane",Brisbane (AUS),False,200,200-metres,sprints,200 Metres,AUS,F,F3,1.,23.55,-1.6,False,734,,resultsByDateResults
14,14550669,24 OCT 2013,"Brisbane Queensland Secondary Schools Ch., Brisbane - U16 Events",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F,2.,11.19,+1.1,False,831,,resultsByDateResults
15,14550669,25 OCT 2013,"Brisbane Queensland Secondary Schools Ch., Brisbane - U16 Events",Brisbane (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,1.,7.14,+3.4,True,932,,resultsByDateResults
16,14550669,30 NOV 2013,"Brisbane QA All Comers Meet, Brisbane",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F1,7.,11.67,-2.3,False,712,,resultsByDateResults
17,14550669,07 DEC 2013,"Townsville Australian All Schools Ch., Townsville - U16 Events",Townsville (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,H3,1.,10.90,+2.2,True,903,,resultsByDateResults
18,14550669,07 DEC 2013,"Townsville Australian All Schools Ch., Townsville - U16 Events",Townsville (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F,2.,10.95,+1.5,False,901,,resultsByDateResults
19,14550669,08 DEC 2013,"Townsville Australian All Schools Ch., Townsville - U16 Events",Townsville (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,1.,6.89,-0.8,False,903,,resultsByDateResults
20,14550669,15 FEB 2014,"Brisbane Joanna Stone Shield, Brisbane - U18 Events",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F1,2.,11.22,+2.4,True,808,,resultsByDateResults
21,14550669,22 FEB 2014,"Brisbane Queensland Jun. Ch., Brisbane - U18 Events",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,H4,2.,11.62,-2.6,False,727,,resultsByDateResults
22,14550669,22 FEB 2014,"Brisbane Queensland Jun. Ch., Brisbane - U18 Events",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,SF1,5.,11.12,+0.6,False,851,,resultsByDateResults
23,14550669,22 FEB 2014,"Brisbane Queensland Jun. Ch., Brisbane - U18 Events",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F,7.,11.39,-2.4,False,789,,resultsByDateResults
24,14550669,23 FEB 2014,"Brisbane Queensland Jun. Ch., Brisbane - U18 Events",Brisbane (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,2.,6.95,+3.7,True,889,,resultsByDateResults
25,14550669,01 MAR 2014,"Brisbane South Queensland Regional Cup, Brisbane - U18 Events",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F,2.,11.34,-0.2,False,790,,resultsByDateResults
26,14550669,01 MAR 2014,"Brisbane South Queensland Regional Cup, Brisbane - U18 Events",Brisbane (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,1.,6.95,+1.8,False,911,,resultsByDateResults
27,14550669,13 MAR 2014,"Sydney Australian U17 Ch., Sydney",Sydney (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,1.,7.16,+2.6,True,941,,resultsByDateResults
28,14550669,13 MAR 2014,"Sydney Australian U17 Ch., Sydney",Sydney (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,,7.05,0.0,False,933,,resultsByDateResults
29,14550669,16 MAR 2014,"Sydney Australian U17 Ch., Sydney",Sydney (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,H2,1.,10.91,+1.1,False,913,,resultsByDateResults
30,14550669,16 MAR 2014,"Sydney Australian U17 Ch., Sydney",Sydney (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F,1.,10.93,+0.6,False,907,,resultsByDateResults
31,14550669,23 OCT 2014,"Brisbane Queensland Secondary Schools Ch., Brisbane - U17 Events",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,H2,1.,10.97,+2.4,True,881,,resultsByDateResults
32,14550669,23 OCT 2014,"Brisbane Queensland Secondary Schools Ch., Brisbane - U17 Events",Brisbane (AUS),False,100,100-metres,sprints,100 Metres,AUS,F,F,2.,10.81,+2.7,True,927,,resultsByDateResults
33,14550669,24 OCT 2014,"Brisbane Queensland Secondary Schools Ch., Brisbane - U17 Events",Brisbane (AUS),False,LJ,long-jump,jumps,Long Jump,AUS,F,F,1.,7.48,+5.6,True,992,,resultsByDateResults
