name,id,date,competition,venue,indoor,disciplineCode,disciplineNameUrlSlug,typeNameUrlSlug,discipline,country,category,race,place,mark,wind,notlegal,resultscore,remark,__typename
Kelsey-Lee Barber,14336705,19-Jan-13,"Canberra AACT Summer Series, Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,48.7,,FALSE,869,,resultsByDateResults
Kelsey-Lee Barber,14336705,10-Feb-13,"Canberra AACT Ch., Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,54.97,,FALSE,985,,resultsByDateResults
Kelsey-Lee Barber,14336705,1-Mar-13,"Sydney NSW Open Ch., Sydney",Sydney (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,55.39,,FALSE,993,,resultsByDateResults
Kelsey-Lee Barber,14336705,9-Mar-13,"Sydney Track Classic, Sydney",Sydney (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,2,55.74,,FALSE,999,,resultsByDateResults
Kelsey-Lee Barber,14336705,27-Mar-13,"Brisbane Queensland Ch., Brisbane",Brisbane (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,51.83,,FALSE,927,,resultsByDateResults
Kelsey-Lee Barber,14336705,13-Apr-13,"Sydney Australian Open Ch., Sydney",Sydney (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,B,F,2,58.58,,FALSE,1052,,resultsByDateResults
Kelsey-Lee Barber,14336705,24-Jan-14,"Canberra AACT Summer Series, Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,60.12,,FALSE,1080,,resultsByDateResults
Kelsey-Lee Barber,14336705,8-Feb-14,"Canberra AACT Ch., Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,63.92,,FALSE,1151,,resultsByDateResults
Kelsey-Lee Barber,14336705,15-Feb-14,"Adelaide Track Classic, Adelaide",Adelaide (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,3,55.02,,FALSE,986,,resultsByDateResults
Kelsey-Lee Barber,14336705,22-Feb-14,"Perth Track Classic, Perth",Perth (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,2,61.99,,FALSE,1115,,resultsByDateResults
Kelsey-Lee Barber,14336705,22-Mar-14,"Melbourne IAAF World Challenge, Albert Park, Melbourne","Albert Park, Melbourne (AUS)",FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,B,F,3,56.7,,FALSE,1017,,resultsByDateResults
Kelsey-Lee Barber,14336705,4-Apr-14,"Melbourne Australian Ch., Albert Park, Melbourne","Albert Park, Melbourne (AUS)",FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,B,Q,3,54.75,,FALSE,981,,resultsByDateResults
Kelsey-Lee Barber,14336705,5-Apr-14,"Melbourne Australian Ch., Albert Park, Melbourne","Albert Park, Melbourne (AUS)",FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,B,F,2,58.58,,FALSE,1052,,resultsByDateResults
Kelsey-Lee Barber,14336705,15-Jun-14,"Canberra AACT High Noon Series, Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,51.98,,FALSE,930,,resultsByDateResults
Kelsey-Lee Barber,14336705,29-Jun-14,"Canberra AACT High Noon Series, Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,53.28,,FALSE,954,,resultsByDateResults
Kelsey-Lee Barber,14336705,20-Jul-14,"Birmingham UK Athletics Jumps & Throws Fest, Birmingham",Birmingham (GBR),FALSE,JT,javelin-throw,throws,Javelin Throw,GBR,F,F,1,58.38,,FALSE,1048,,resultsByDateResults
Kelsey-Lee Barber,14336705,30-Jul-14,"Glasgow Commonwealth Games, Hampden Park, Glasgow","Hampden Park, Glasgow (GBR)",FALSE,JT,javelin-throw,throws,Javelin Throw,GBR,A,F,3,62.95,,FALSE,1133,,resultsByDateResults
Kelsey-Lee Barber,14336705,14-Nov-14,"Perth Strive Interclub, Perth",Perth (AUS),FALSE,100,100-metres,sprints,100 Metres,AUS,F,F6,3,13.8,1.1,FALSE,667,,resultsByDateResults
Kelsey-Lee Barber,14336705,14-Dec-14,"Canberra AACT Summer Series, Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,53.3,,FALSE,954,,resultsByDateResults
Kelsey-Lee Barber,14336705,30-Jan-15,Canberra,Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,57.85,,FALSE,1038,,resultsByDateResults
Kelsey-Lee Barber,14336705,1-Feb-15,Adelaide,Adelaide (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,3,59.71,,FALSE,1073,,resultsByDateResults
Kelsey-Lee Barber,14336705,7-Feb-15,"Canberra Track Classic, Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,63.78,,FALSE,1148,,resultsByDateResults
Kelsey-Lee Barber,14336705,14-Feb-15,"Perth Jandakot City Track Classic, Perth",Perth (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,3,58.5,,FALSE,1050,,resultsByDateResults
Kelsey-Lee Barber,14336705,21-Feb-15,"Adelaide Track Classic, Adelaide",Adelaide (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,3,59.71,,FALSE,1073,,resultsByDateResults
Kelsey-Lee Barber,14336705,21-Mar-15,"Melbourne IAAF World Challenge, Albert Park, Melbourne","Albert Park, Melbourne (AUS)",FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,B,F,4,62.22,,FALSE,1119,,resultsByDateResults
Kelsey-Lee Barber,14336705,27-Mar-15,"Brisbane Australian Ch., Brisbane",Brisbane (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,B,Q,2,56.48,,FALSE,1013,,resultsByDateResults
Kelsey-Lee Barber,14336705,28-Mar-15,"Brisbane Australian Ch., Brisbane",Brisbane (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,B,F,2,58.61,,FALSE,1052,,resultsByDateResults
Kelsey-Lee Barber,14336705,8-Jun-15,"Memoriál Josefa Odložila, Stadion Juliska, Praha","Stadion Juliska, Praha (CZE)",FALSE,JT,javelin-throw,throws,Javelin Throw,CZE,C,F,8,58.87,,FALSE,1057,,resultsByDateResults
Kelsey-Lee Barber,14336705,13-Jun-15,"Leiden Gouden Spike, Leiden",Leiden (NED),FALSE,JT,javelin-throw,throws,Javelin Throw,NED,E,F,1,59.45,,FALSE,1068,,resultsByDateResults
Kelsey-Lee Barber,14336705,25-Jun-15,"Sollentuna Folksam GP, Sollentuna",Sollentuna (SWE),FALSE,JT,javelin-throw,throws,Javelin Throw,SWE,D,F,1,63.17,,FALSE,1137,,resultsByDateResults
Kelsey-Lee Barber,14336705,28-Jun-15,"Pihtipudas Javelin Throw Carnival, Pihtipudas",Pihtipudas (FIN),FALSE,JT,javelin-throw,throws,Javelin Throw,FIN,F,F1,1,61.74,,FALSE,1110,,resultsByDateResults
Kelsey-Lee Barber,14336705,15-Aug-15,"Chiba Juntendo Int. Meeting, Chiba",Chiba (JPN),FALSE,JT,javelin-throw,throws,Javelin Throw,JPN,E,F,1,59.58,,FALSE,1070,,resultsByDateResults
Kelsey-Lee Barber,14336705,28-Aug-15,"Beijing IAAF World Championships, National Stadium, Beijing","National Stadium, Beijing (CHN)",FALSE,JT,javelin-throw,throws,Javelin Throw,CHN,OW,Q1,10,60.18,,FALSE,1081,,resultsByDateResults
Kelsey-Lee Barber,14336705,6-Feb-16,"Canberra AACT Ch., Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,57.92,,FALSE,1039,,resultsByDateResults
Kelsey-Lee Barber,14336705,20-Feb-16,"Canberra Track Classic, Canberra",Canberra (AUS),FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,F,F,1,59.02,,FALSE,1060,,resultsByDateResults
Kelsey-Lee Barber,14336705,5-Mar-16,"Melbourne IAAF World Challenge, Albert Park, Melbourne","Albert Park, Melbourne (AUS)",FALSE,JT,javelin-throw,throws,Javelin Throw,AUS,B,F,2,56.1,,FALSE,1006,,resultsByDateResults
Kelsey-Lee Barber,14336705,3-Jul-16,"Pihtipudas Javelin Throw Carnival, Pihtipudas",Pihtipudas (FIN),FALSE,JT,javelin-throw,throws,Javelin Throw,FIN,F,F1,2,57.47,,FALSE,1031,,resultsByDateResults
Kelsey-Lee Barber,14336705,14-Jul-16,Lahti,Lahti (FIN),FALSE,JT,javelin-throw,throws,Javelin Throw,FIN,F,F,3,58.52,,FALSE,1051,,resultsByDateResults
Kelsey-Lee Barber,14336705,23-Jul-16,"Ninove Memorial Geert Rasschaert, Ninove",Ninove (BEL),FALSE,JT,javelin-throw,throws,Javelin Throw,BEL,E,F,2,52.43,,FALSE,938,,resultsByDateResults
Kelsey-Lee Barber,14336705,16-Aug-16,"Rio de Janeiro Olympic Games, Estádio Olímpico, Rio de Janeiro","Estádio Olímpico, Rio de Janeiro (BRA)",FALSE,JT,javelin-throw,throws,Javelin Throw,BRA,OW,Q2,13,55.25,,FALSE,990,,resultsByDateResults
