Season,Name,Age,Link ,Event,Tier ,PB,SB,Date,Competition,Ctry,Category,Race,Pl.,Result,Score,Wind,Country,Continent,Competition_Count,DOB
2016,Darcy Roper,17,https://worldathletics.org/athletes/australia/darcy-roper-14550669,LJ_men,Development,8.01,7.75,2/7/2016,"Sydney NSW U20 & U18 & U17 Ch., Sydney",AUS,F,F,1,7.75,1083,0.7,Australia,Oceania,42,31/3/1998
2016,Darcy Roper,17,https://worldathletics.org/athletes/australia/darcy-roper-14550670,LJ_men,Development,8.01,7.75,2/14/2016,"Brisbane Queensland Jun. Ch., Brisbane",AUS,F,F,2,7.59,1049,0.5,Australia,Oceania,42,
2016,Darcy Roper,17,https://worldathletics.org/athletes/australia/darcy-roper-14550671,LJ_men,Development,8.01,7.83,2/20/2016,"Canberra Track Classic, Canberra",AUS,F,F,1,7.83,1101,1.3,Australia,Oceania,42,
2016,Darcy Roper,17,https://worldathletics.org/athletes/australia/darcy-roper-14550672,LJ_men,Development,8.01,7.83,3/5/2016,"Melbourne IAAF World Challenge, Albert Park, Melbourne",AUS,B,F,1,7.74,1081,1,Australia,Oceania,42,
2016,Darcy Roper,17,https://worldathletics.org/athletes/australia/darcy-roper-14550673,LJ_men,Development,8.01,7.83,3/11/2016,"Perth Australian U20 Ch., Perth",AUS,F,F,1,7.72,1077,0.8,Australia,Oceania,42,
2016,Darcy Roper,18,https://worldathletics.org/athletes/australia/darcy-roper-14550674,LJ_men,Development,8.01,7.83,4/1/2016,"Sydney Australian Ch., SOPAC, Sydney",AUS,B,Q,5,7.59,1049,1.5,Australia,Oceania,42,
2016,Darcy Roper,18,https://worldathletics.org/athletes/australia/darcy-roper-14550675,LJ_men,Development,8.01,7.83,4/3/2016,"Sydney Australian Ch., SOPAC, Sydney",AUS,B,F,5,7.71,1075,0.4,Australia,Oceania,42,
2016,Darcy Roper,18,https://worldathletics.org/athletes/australia/darcy-roper-14550676,LJ_men,Development,8.01,7.83,4/16/2016,"Canberra High Noon Series, Canberra",AUS,F,F,2,7.63,1057,1.2,Australia,Oceania,42,
2016,Darcy Roper,18,https://worldathletics.org/athletes/australia/darcy-roper-14550677,LJ_men,Development,8.01,7.83,6/26/2016,"Mannheim Bauhaus Junioren-Gala, Mannheim",GER,F,F1,1,7.74,1081,0,Germany,Europe,1,
2016,Darcy Roper,18,https://worldathletics.org/athletes/australia/darcy-roper-14550678,LJ_men,Development,8.01,7.83,7/1/2016,"Suwałki Polish Jun Ch., Suwalki",POL,F,Q2,2,7.27,980,0.8,Poland,Europe,3,
