Season,Name,Age,Link ,Event,Tier ,PB,SB,Date,Competition,Ctry,Category,Race,Pl.,Result,Score,Wind,Country,Continent,Competition_Count,DOB,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336680,JT_women,GOLD,60.12,60.12,24-Jan-14,"Canberra AACT Summer Series, Canberra",AUS,F,F,1,60.12,1080,,Australia,Oceania,49,20/9/1991,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336681,JT_women,GOLD,63.92,63.92,8-Feb-14,"Canberra AACT Ch., Canberra",AUS,F,F,1,63.92,1151,,Australia,Oceania,49,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336682,JT_women,GOLD,63.92,63.92,15-Feb-14,"Adelaide Track Classic, Adelaide",AUS,F,F,3,55.02,986,,Australia,Oceania,49,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336683,JT_women,GOLD,63.92,63.92,22-Feb-14,"Perth Track Classic, Perth",AUS,F,F,2,61.99,1115,,Australia,Oceania,49,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336684,JT_women,GOLD,63.92,63.92,22-Mar-14,"Melbourne IAAF World Challenge, Albert Park, Melbourne",AUS,B,F,3,56.7,1017,,Australia,Oceania,49,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336685,JT_women,GOLD,63.92,63.92,4-Apr-14,"Melbourne Australian Ch., Albert Park, Melbourne",AUS,B,Q,3,54.75,981,,Australia,Oceania,49,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336686,JT_women,GOLD,63.92,63.92,5-Apr-14,"Melbourne Australian Ch., Albert Park, Melbourne",AUS,B,F,2,58.58,1052,,Australia,Oceania,49,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336687,JT_women,GOLD,63.92,63.92,15-Jun-14,"Canberra AACT High Noon Series, Canberra",AUS,F,F,1,51.98,930,,Australia,Oceania,49,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336688,JT_women,GOLD,63.92,63.92,29-Jun-14,"Canberra AACT High Noon Series, Canberra",AUS,F,F,1,53.28,954,,Australia,Oceania,49,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336689,JT_women,GOLD,63.92,63.92,20-Jul-14,"Birmingham UK Athletics Jumps & Throws Fest, Birmingham",GBR,F,F,1,58.38,1048,,Great Brittan,Europe,8,,
2014,Kelsey-Lee Barber,22,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336690,JT_women,GOLD,63.92,63.92,30-Jul-14,"Glasgow Commonwealth Games, Hampden Park, Glasgow",GBR,A,F,3,62.95,1133,,Great Brittan,Europe,8,,
2014,Kelsey-Lee Barber,23,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336690,JT_women,GOLD,63.92,63.92,14-Dec-14,"Canberra AACT Summer Series, Canberra",AUS,F,F,1,53.3,954,,Australia,Oceania,49,,
