id,name,sex
14336705,Kelsey-Lee Barber,F
14455361,Nicola Olyslagers,F
14673644,Ashley Moloney,M
14456885,Peter Bol,M
14940604,Rhydian Cowley,M
14436890,Matthew Denny,M
14272002,Linden Hall,F
14407592,Nina Kennedy,F
14464527,Mackenzie Little,F
14565327,Kurtis Marschall,M
14500488,Stewart McSweyn,M
14271632,Kathryn Mitchell,F
14457807,Jemima Montag,F
14411267,Eleanor Patterson,F
14387190,Brandon Starc,M
14271241,Brooke Buschkuehl,F
14463325,Catriona Bisset,F
14575440,Rohan Browning,M
14455195,Elizabeth Clay,F
14613323,Riley Day,F
14490253,Sinead Diver,F
14446988,Cedric Dubler,M
14617484,Katie Hayward,F
14667553,Oli Hoare,M
14464506,Jessica Hull,F
14550669,Darcy Roper,M
14433154,Patrick Tiernan,M
14619618,Declan Tingay,M
14436876,Naa Anang,F
14765461,John Gikas,M
14271807,Genevieve Gregson,F
14831970,Elyssia Kenshole,F
14514627,Angus Armstrong,M
14411273,Hana Basic,F
14768392,Ellie Beer,F
14517121,Ella Connolly,F
14634207,Jye Edwards,M
14636668,Rebecca Henderson,F
14674731,Alexander Kolesnikoff,M
14761633,Nash Lowis,M
14622433,Cameron McEntyre,M
14555113,Celeste Mucci,F
14764890,Bendere Oboya,F
14517181,Liam O'Brien,M
14448453,Ellie Pashley,F
14576384,Matthew Ramsden,M
14517160,Jack Rayner,M
14611740,Kyle Swan,M
14732754,Jess Bell,F
14673646,Zane Branco,M
14636659,Abbey Caldwell,F
14733182,Declan Carman,M
14615310,Tomysha Clark,F
14769938,Sam Clifford,M
14731742,Joshua Cowley,M
14730127,Taylah Cruttenden,F
14787531,Lianna Davidson,F
14730464,Corey Dickson,M
14769953,Jack Downey,M
14861366,Liam Gilbert,M
14609656,Aiden Harvey,M
14820122,Reece Holder,M
14691224,Neil Janse van Rensberg,M
14861747,Jack Lunn,M
14812564,Howard McDonald,M
14636671,Annie McGuire,F
14777855,Mackenzie Mielczarek,F
14774575,Oscar Miers,M
14765468,Connor Murphy,M
14814142,Tomas Palfrey,M
14727709,Monique Quirk,F
14689526,Alexandra Roberts,F
14865727,Ky Robinson,M
14815270,Olivia Sandery,F
14859206,Erin Shaw,F
14576087,Keely Small,F
14861525,Jude Thomas,F
14668498,Carley Thomas,F
14730466,Will Thompson,M
14733176,Luke Young,M
14519260,Izzi Batt-Doyle,F
14360445,Alex Beck,M
14496696,Jacinta Beecher,F
14272435,Jenny Blundell,F
14411012,Ben Buckingham,M
14406120,Sarah Carli,F
14336764,Amy Cashin,F
14445318,Milly Clark,F
14689546,Matthew Clarke,M
14517594,Rose Davies,F
14731617,Jake Doran,M
14471777,Chris Douglas,M
14608674,Cara Feain-Ryan,F
14554575,Brenton Foster,M
14179673,Henry Frayne,M
14272049,Taryn Gollshewsky,F
14533629,Daniel Golubovic,M
14549778,Georgia Griffith,F
14553618,Jack Hale,M
14384288,Nick Hough,M
14495639,Alex Hulley,F
14514622,Charlie Hunter,M
14411163,Hannah Jones,F
14924344,Bree Masters,F
14496066,Morgan McDonald,M
14552175,Chris Mitrevski,M
14271509,Liz Parnova,F
14517173,Jake Penny,M
14727680,Will Roberts,M
14336706,Brett Robinson,M
14370966,Anneliese Rubie-Renshaw,F
14386314,Steven Solomon,M
14336656,Jess Stenson,F
14668477,Ed Trippas,M
14271094,Lisa Weightman,F
14271451,Eloise Wellings,F
14496063,Georgia Winkcup,F
