CHAMPS,EVENT,POS,BIB,ATHLETE,COUNTRY,RESULT
WC_2022,100_men,1,2389,Fred KERLEY,USA,9.86
WC_2022,100_men,2,2360,Marvin BRACY,USA,9.88
WC_2022,100_men,3,2363,Trayvon BROMELL,USA,9.88
WC_2022,100_men,4,2039,Oblique SEVILLE,JAM,9.97
WC_2022,100_men,5,2266,Akani SIMBINE,RSA,10.01
WC_2022,100_men,6,2368,Christian COLEMAN,USA,10.01
WC_2022,100_men,7,2068,Abdul Hakim SANI BROWN,JPN,10.06
WC_2022,100_men,8,1639,Aaron BROWN,CAN,10.07
,,,,,,
WC_2022,100_women,1,836,Shelly-Ann FRASER-PRYCE,JAM,10.67
WC_2022,100_women,2,840,Shericka JACKSON,JAM,10.73
WC_2022,100_women,3,855,Elaine THOMPSON-HERAH,JAM,10.81
WC_2022,100_women,4,681,Dina ASHER-SMITH,GBR,10.83
WC_2022,100_women,5,1084,Mujinga KAMBUNDJI,SUI,10.91
WC_2022,100_women,6,1171,Aleia HOBBS,USA,10.92
WC_2022,100_women,7,554,Marie-Josée TA LOU,CIV,10.93
WC_2022,100_women,8,1175,Melissa JEFFERSON,USA,11.03
,,,,,,
,,,,,,
,,,,,,
WC_2022,HJ_men,1,2241,Mutaz Essa BARSHIM,QAT,2.37
WC_2022,HJ_men,2,2108,Sanghyeok WOO,KOR,2.35
WC_2022,HJ_men,3,2344,Andriy PROTSENKO,UKR,2.33
WC_2022,HJ_men,4,2010,Gianmarco TAMBERI,ITA,2.33
WC_2022,HJ_men,5,2404,Shelby MCEWEN,USA,2.3
WC_2022,HJ_men,6,1648,Django LOVETT,CAN,2.27
WC_2022,HJ_men,6,1707,Luis Enrique ZAYAS,CUB,2.27
WC_2022,HJ_men,8,2070,Tomohiro SHINNO,JPN,2.27
WC_2022,HJ_men,9,2383,JuVaughn HARRISON,USA,2.27
WC_2022,HJ_men,10,1525,Joel BADEN,AUS,2.27
WC_2022,HJ_men,11,1984,Yonathan KAPITOLNIK,ISR,2.24
WC_2022,HJ_men,12,1917,Mateusz PRZYBYLKO,GER,2.24
WC_2022,HJ_men,13,2148,Edgar RIVERA,MEX,2.19
,,,,,,
WC_2022,HJ_women,1,434,Eleanor PATTERSON,AUS,2.02
WC_2022,HJ_women,2,1132,Yaroslava MAHUCHIKH,UKR,2.02
WC_2022,HJ_women,3,827,Elena VALLORTIGARA,ITA,2
WC_2022,HJ_women,4,1125,Iryna GERASHCHENKO,UKR,2
WC_2022,HJ_women,5,433,Nicola OLYSLAGERS,AUS,1.96
WC_2022,HJ_women,5,1222,Safina SADULLAYEVA,UZB,1.96
WC_2022,HJ_women,7,626,Karmen BRUUS,EST,1.96
WC_2022,HJ_women,8,888,Nadezhda DUBOVITSKAYA,KAZ,1.96
WC_2022,HJ_women,9,835,Lamara DISTIN,JAM,1.93
WC_2022,HJ_women,10,1045,Daniela STANCIU,ROU,1.93
WC_2022,HJ_women,11,862,Kimberly WILLIAMSON,JAM,1.89
WC_2022,HJ_women,12,1064,Lia APOSTOLOVSKI,SLO,1.89
,,,,,,
,,,,,,
WC_2022,JT_women,1,407,Kelsey-Lee BARBER,AUS,66.91
WC_2022,JT_women,2,1219,Kara WINGER,USA,64.05
WC_2022,JT_women,3,873,Haruka KITAGUCHI,JPN,63.27
WC_2022,JT_women,4,538,Shiying LIU,CHN,63.25
WC_2022,JT_women,5,429,Mackenzie LITTLE,AUS,63.22
WC_2022,JT_women,6,919,Līna MŪZE,LAT,61.26
WC_2022,JT_women,7,781,Annu RANI,IND,61.12
WC_2022,JT_women,8,578,Nikola OGRODNÍKOVÁ,CZE,60.18
WC_2022,JT_women,9,499,Elizabeth GLEADLE,CAN,59.59
WC_2022,JT_women,10,925,Liveta JASIŪNAITĖ,LTU,58.97
WC_2022,JT_women,11,882,Sae TAKEMOTO,JPN,57.93
WC_2022,JT_women,12,729,Annika Marie FUCHS,GER,56.46
