champs,event_code,discipline,sex,constraint,place,ATHLETE,COUNTRY,RESULT,clesnsed_result,resultscore,
WC_2022,100m,100 Metres,M,time,1,Fred KERLEY,USA,9.86,9.86,1255,
WC_2022,100m,100 Metres,M,time,2,Marvin BRACY,USA,9.88,9.88,1248,
WC_2022,100m,100 Metres,M,time,3,Trayvon BROMELL,USA,9.88,9.88,1248,
WC_2022,100m,100 Metres,M,time,4,Oblique SEVILLE,JAM,9.97,9.97,1217,
WC_2022,100m,100 Metres,M,time,5,Akani SIMBINE,RSA,10.01,10.01,1203,
WC_2022,100m,100 Metres,M,time,6,Christian COLEMAN,USA,10.01,10.01,1203,
WC_2022,100m,100 Metres,M,time,7,Abdul Hakim SANI BROWN,JPN,10.06,10.06,1186,
WC_2022,100m,100 Metres,M,time,8,Aaron BROWN,CAN,10.07,10.07,1182,
WC_2022,100m,100 Metres,F,time,1,Shelly-Ann FRASER-PRYCE,JAM,10.67,10.67,1273,
WC_2022,100m,100 Metres,F,time,2,Shericka JACKSON,JAM,10.73,10.73,1259,
WC_2022,100m,100 Metres,F,time,3,Elaine THOMPSON-HERAH,JAM,10.81,10.81,1242,
WC_2022,100m,100 Metres,F,time,4,Dina ASHER-SMITH,GBR,10.83,10.83,1237,
WC_2022,100m,100 Metres,F,time,5,Mujinga KAMBUNDJI,SUI,10.91,10.91,1220,
WC_2022,100m,100 Metres,F,time,6,Aleia HOBBS,USA,10.92,10.92,1217,
WC_2022,100m,100 Metres,F,time,7,Marie-Josée TA LOU,CIV,10.93,10.93,1215,
WC_2022,100m,100 Metres,F,time,8,Melissa JEFFERSON,USA,11.03,11.03,1193,
WC_2022,200m,200 Meters,M,time,1,Noah LYLES,USA,19.31,19.31,1331,
WC_2022,200m,200 Meters,M,time,2,Kenneth BEDNAREK,USA,19.77,19.77,1256,
WC_2022,200m,200 Meters,M,time,3,Erriyon KNIGHTON,USA,19.8,19.80,1252,
WC_2022,200m,200 Meters,M,time,4,Joseph FAHNBULLEH,LBR,19.84,19.84,1245,
WC_2022,200m,200 Meters,M,time,5,Alexander OGANDO,DOM,19.93,19.93,1231,
WC_2022,200m,200 Meters,M,time,6,Jereem RICHARDS,TTO,20.08,20.08,1207,
WC_2022,200m,200 Meters,M,time,7,Aaron BROWN,CAN,20.18,20.18,1192,
WC_2022,200m,200 Meters,M,time,8,Luxolo ADAMS,RSA,20.47,20.47,1147,
WC_2022,200m,200 Meters,F,time,1,Shericka JACKSON,JAM,21.45,21.45,1296,
WC_2022,200m,200 Meters,F,time,2,Shelly-Ann FRASER-PRYCE,JAM,21.81,21.81,1258,
WC_2022,200m,200 Meters,F,time,3,Dina ASHER-SMITH,GBR,22.02,22.02,1236,
WC_2022,200m,200 Meters,F,time,4,Aminatou SEYNI,NIG,22.12,22.12,1225,
WC_2022,200m,200 Meters,F,time,5,Abby STEINER,USA,22.26,22.26,1210,
WC_2022,200m,200 Meters,F,time,6,Tamara CLARK,USA,22.32,22.32,1204,
WC_2022,200m,200 Meters,F,time,7,Elaine THOMPSON-HERAH,JAM,22.39,22.39,1197,
WC_2022,200m,200 Meters,F,time,8,Mujinga KAMBUNDJI,SUI,22.55,22.55,1180,
WC_2022,400m,400 Meters,M,time,1,Michael NORMAN,USA,44.29,44.29,1230,
WC_2022,400m,400 Meters,M,time,2,Kirani JAMES,GRN,44.48,44.48,1216,
WC_2022,400m,400 Meters,M,time,3,Matthew HUDSON-SMITH,GBR,44.66,44.66,1203,
WC_2022,400m,400 Meters,M,time,4,Champion ALLISON,USA,44.77,44.77,1196,
WC_2022,400m,400 Meters,M,time,5,Wayde VAN NIEKERK,RSA,44.97,44.97,1182,
WC_2022,400m,400 Meters,M,time,6,Bayapo NDORI,BOT,45.29,45.29,1160,
WC_2022,400m,400 Meters,M,time,7,Christopher TAYLOR,JAM,45.3,45.30,1159,
WC_2022,400m,400 Meters,M,time,8,Jonathan JONES,BAR,46.13,46.13,1103,
WC_2022,400m,400 Meters,F,time,1,Shaunae MILLER-UIBO,BAH,49.11,49.11,1242,
WC_2022,400m,400 Meters,F,time,2,Marileidy PAULINO,DOM,49.6,49.60,1222,
WC_2022,400m,400 Meters,F,time,3,Sada WILLIAMS,BAR,49.75,49.75,1216,
WC_2022,400m,400 Meters,F,time,4,Lieke KLAVER,NED,50.33,50.33,1192,
