Name,Link ,Event,Teir ,,
Kelsey-Lee Barber,https://worldathletics.org/athletes/australia/kelsey-lee-barber-14336705,Javelin,GOLD,,
Nicola Olyslagers,https://worldathletics.org/athletes/australia/nicola-olyslagers-14455361,High Jump,PODIUM,,
Ashley Moloney,https://worldathletics.org/athletes/australia/ashley-moloney-14673644,Decathlon,PODIUM,,
Peter Bol,https://worldathletics.org/athletes/australia/peter-bol-14456885,800m,PODIUM READY,,
Rhydian Cowley,https://worldathletics.org/athletes/australia/rhydian-cowley-14940604,Race-Walking,PODIUM READY,,
Matthew Denny,https://worldathletics.org/athletes/australia/matthew-denny-14436890,Discus,PODIUM READY,,
Linden Hall,https://worldathletics.org/athletes/australia/linden-hall-14272002,1500m,PODIUM READY,,
Nina Kennedy,https://worldathletics.org/athletes/australia/nina-kennedy-14407592,Pole Vault,PODIUM READY,,
Mackenzie Little,https://worldathletics.org/athletes/australia/mackenzie-little-14464527,Javelin,PODIUM READY,,
Kurtis Marschall,https://worldathletics.org/athletes/australia/kurtis-marschall-14565327,Pole Vault,PODIUM READY,,
Stewart McSweyn,https://worldathletics.org/athletes/australia/stewart-mcsweyn-14500488,1500m,PODIUM READY,,
Kathryn Mitchell,https://worldathletics.org/athletes/australia/kathryn-mitchell-14271632,Javelin,PODIUM READY,,
Jemima Montag,https://worldathletics.org/athletes/australia/jemima-montag-14457807,Race-Walking,PODIUM READY,,
Eleanor Patterson,https://worldathletics.org/athletes/australia/eleanor-patterson-14411267,High Jump,PODIUM READY,,
Brandon Starc,https://worldathletics.org/athletes/australia/brandon-starc-14387190,High Jump,PODIUM READY,,
Brooke Buschkuehl,https://worldathletics.org/athletes/australia/brooke-stratton-14271241?competitorid=brooke-stratton-14271241&counrty=australia,Long Jump,PODIUM READY,,
Dane Bird-Smith,,,PODIUM POTENTIAL,,
Catriona Bisset,,,PODIUM POTENTIAL,,
Rohan Browning,,,PODIUM POTENTIAL,,
Elizabeth Clay,,,PODIUM POTENTIAL,,
Riley Day,,,PODIUM POTENTIAL,,
Sinead Diver,,,PODIUM POTENTIAL,,
Cedric Dubler,,,PODIUM POTENTIAL,,
Katie Hayward,,,PODIUM POTENTIAL,,
Oli Hoare,,,PODIUM POTENTIAL,,
Jessica Hull,,,PODIUM POTENTIAL,,
Darcy Roper,,,PODIUM POTENTIAL,,
Patrick Tiernan,,,PODIUM POTENTIAL,,
Declan Tingay,,,PODIUM POTENTIAL,,
Naa Anang,,,MEDICAL,,
John Gikas,,,MEDICAL,,
Genevieve Gregson,,,MEDICAL,,
Elyssia Kenshole,,,MEDICAL,,
Angus Armstrong,,,DEVELOPMENT,,
Hana Basic,,,DEVELOPMENT,,
Ellie Beer,,,DEVELOPMENT,,
Ella Connolly,,,DEVELOPMENT,,
Jye Edwards,,,DEVELOPMENT,,
Rebecca Henderson,,,DEVELOPMENT,,
Alexander Kolesnikoff,,,DEVELOPMENT,,
Nash Lowis,,,DEVELOPMENT,,
Cameron McEntyre,,,DEVELOPMENT,,
Celeste Mucci,,,DEVELOPMENT,,
Bendere Oboya,,,DEVELOPMENT,,
Liam O'Brien,,,DEVELOPMENT,,
Ellie Pashley,,,DEVELOPMENT,,
Matthew Ramsden,,,DEVELOPMENT,,
Jack Rayner,,,DEVELOPMENT,,
Kyle Swan,,,DEVELOPMENT,,
Jess Bell,,,EMERGING,,
Zane Branco,,,EMERGING,,
Abbey Caldwell,,,EMERGING,,
Declan Carman,,,EMERGING,,
Tomysha Clark,,,EMERGING,,
Sam Clifford,,,EMERGING,,
Joshua Cowley,,,EMERGING,,
Taylah Cruttenden,,,EMERGING,,
Lianna Davidson,,,EMERGING,,
Corey Dickson,,,EMERGING,,
Jack Downey,,,EMERGING,,
Liam Gilbert,,,EMERGING,,
Aiden Harvey,,,EMERGING,,
Reece Holder,,,EMERGING,,
Neil Janse van Rensberg ,,,EMERGING,,
Jack Lunn,,,EMERGING,,
Howard McDonald,,,EMERGING,,
Annie McGuire,,,EMERGING,,
Mackenzie Mielczarek,,,EMERGING,,
Oscar Miers,,,EMERGING,,
Connor Murphy,,,EMERGING,,
Tomas Palfrey,,,EMERGING,,
Monique Quirk,,,EMERGING,,
Alexandra Roberts,,,EMERGING,,
Ky Robinson,,,EMERGING,,
Olivia Sandery,,,EMERGING,,
Erin Shaw,,,EMERGING,,
Keely Small,,,EMERGING,,
Jude Thomas,,,EMERGING,,
Carley Thomas,,,EMERGING,,
Will Thompson,,,EMERGING,,
Luke Young,,,EMERGING,,
Izzi Batt-Doyle,,,REPRESENTATIVE,,
Alex Beck,,,REPRESENTATIVE,,
Jacinta Beecher,,,REPRESENTATIVE,,
Jenny Blundell,,,REPRESENTATIVE,,
Ben Buckingham,,,REPRESENTATIVE,,
