champs,discipline,sex,resultscore,place,BIB,ATHLETE,COUNTRY,RESULT
WC_2022,100 Metres,M,1255,1,2389,Fred KERLEY,USA,9.86
WC_2022,100 Metres,M,1248,2,2360,Marvin BRACY,USA,9.88
WC_2022,100 Metres,M,1248,3,2363,Trayvon BROMELL,USA,9.88
WC_2022,100 Metres,M,1217,4,2039,Oblique SEVILLE,JAM,9.97
WC_2022,100 Metres,M,1203,5,2266,Akani SIMBINE,RSA,10.01
WC_2022,100 Metres,M,1203,6,2368,Christian COLEMAN,USA,10.01
WC_2022,100 Metres,M,1186,7,2068,Abdul Hakim SANI BROWN,JPN,10.06
WC_2022,100 Metres,M,1182,8,1639,Aaron BROWN,CAN,10.07
WC_2022,100 Metres,F,1273,1,836,Shelly-Ann FRASER-PRYCE,JAM,10.67
WC_2022,100 Metres,F,1259,2,840,Shericka JACKSON,JAM,10.73
WC_2022,100 Metres,F,1242,3,855,Elaine THOMPSON-HERAH,JAM,10.81
WC_2022,100 Metres,F,1237,4,681,Dina ASHER-SMITH,GBR,10.83
WC_2022,100 Metres,F,1220,5,1084,Mujinga KAMBUNDJI,SUI,10.91
WC_2022,100 Metres,F,1217,6,1171,Aleia HOBBS,USA,10.92
WC_2022,100 Metres,F,1215,7,554,Marie-Josée TA LOU,CIV,10.93
WC_2022,100 Metres,F,1193,8,1175,Melissa JEFFERSON,USA,11.03
WC_2022,200 Meters,M,1331,1,2400,Noah LYLES,USA,19.31 WL
WC_2022,200 Meters,M,1256,2,2355,Kenneth BEDNAREK,USA,19.77 SB
WC_2022,200 Meters,M,1252,3,2396,Erriyon KNIGHTON,USA,19.8
WC_2022,200 Meters,M,1245,4,2115,Joseph FAHNBULLEH,LBR,19.84
WC_2022,200 Meters,M,1231,5,1740,Alexander OGANDO,DOM,19.93
WC_2022,200 Meters,M,1207,6,2320,Jereem RICHARDS,TTO,20.08
WC_2022,200 Meters,M,1192,7,1639,Aaron BROWN,CAN,20.18
WC_2022,200 Meters,M,1147,8,2247,Luxolo ADAMS,RSA,20.47
WC_2022,200 Meters,F,1296,1,840,Shericka JACKSON,JAM,21.45 CR
