mark,score
9.19,1399
9.18,1397
9.17,1395
9.16,1393
9.15,1391
9.14,1388
9.13,1386
9.12,1384
9.11,1382
9.10,1379
9.09,1377
9.08,1375
9.07,1373
9.06,1371
9.05,1368
9.04,1366
9.03,1364
9.02,1362
9.01,1360
9.00,1357
8.99,1355
8.98,1353
8.97,1351
8.96,1348
8.95,1346
8.94,1344
8.93,1342
8.92,1340
8.91,1337
8.90,1335
8.89,1333
8.88,1331
8.87,1329
8.86,1326
8.85,1324
8.84,1322
8.83,1320
8.82,1318
8.81,1315
8.80,1313
8.79,1311
8.78,1309
8.77,1306
8.76,1304
8.75,1302
8.74,1300
8.73,1298
8.72,1295
8.71,1293
8.70,1291
8.69,1289
8.68,1287
8.67,1284
8.66,1282
8.65,1280
8.64,1278
8.63,1276
8.62,1273
8.61,1271
8.60,1269
8.59,1267
8.58,1265
8.57,1262
8.56,1260
8.55,1258
8.54,1256
8.53,1254
8.52,1251
8.51,1249
8.50,1247
8.49,1245
8.48,1243
8.47,1240
8.46,1238
8.45,1236
8.44,1234
8.43,1232
8.43,1229
8.41,1227
8.40,1225
8.39,1223
8.38,1221
8.37,1219
8.36,1216
8.35,1214
8.34,1212
8.33,1210
8.32,1208
8.32,1205
8.30,1203
8.29,1201
8.28,1199
8.27,1197
8.26,1194
8.25,1192
8.24,1190
8.23,1188
8.22,1186
8.21,1184
8.20,1181
8.19,1179
8.18,1177
8.17,1175
8.16,1173
8.15,1170
8.14,1168
8.13,1166
8.12,1164
8.11,1162
8.10,1160
8.09,1157
8.08,1155
8.07,1153
8.06,1151
8.05,1149
8.04,1146
8.03,1144
8.02,1142
8.01,1140
8.00,1138
7.99,1136
7.98,1133
7.97,1131
7.96,1129
7.95,1127
7.94,1125
7.93,1123
7.92,1120
7.91,1118
7.90,1116
7.89,1114
7.88,1112
7.87,1109
7.86,1107
7.85,1105
7.84,1103
7.83,1101
7.82,1099
7.81,1096
7.80,1094
7.79,1092
7.78,1090
7.77,1088
7.76,1086
7.75,1083
7.74,1081
7.73,1079
7.72,1077
7.71,1075
7.70,1073
7.69,1070
7.68,1068
7.67,1066
7.66,1064
7.65,1062
7.64,1060
7.63,1057
7.63,1055
7.61,1053
7.60,1051
7.59,1049
7.58,1047
7.57,1045
7.56,1042
7.55,1040
7.54,1038
7.53,1036
7.52,1034
7.51,1032
7.50,1029
7.49,1027
7.48,1025
7.47,1023
7.46,1021
7.45,1019
7.44,1017
7.43,1014
7.42,1012
7.41,1010
7.40,1008
7.39,1006
7.38,1004
7.37,1001
7.36,999
7.35,997
7.34,995
7.33,993
7.32,991
7.31,989
7.30,986
7.29,984
7.28,982
7.27,980
7.26,978
7.25,976
7.24,973
7.23,971
7.22,969
7.21,967
7.20,965
7.19,963
7.18,961
7.17,958
7.16,956
7.15,954
7.14,952
7.13,950
7.12,948
7.11,945
7.10,943
7.09,941
7.08,939
7.07,937
7.06,935
7.05,933
7.04,930
7.03,928
7.02,926
7.01,924
7.00,922
