,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
OW,350,310,280,250,230,215,200,185,130,120,110,100,95,90,85,80
DF,240,210,185,170,155,145,135,125,90,80,70,60,0,0,0,0
GW,200,170,150,140,130,120,110,100,70,60,50,45,0,0,0,0
GL,170,145,130,120,110,100,90,80,60,50,45,40,0,0,0,0
A,140,120,110,100,90,80,70,60,0,0,0,0,0,0,0,0
B,100,80,70,60,55,50,45,40,0,0,0,0,0,0,0,0
C,60,50,45,40,35,30,27,25,0,0,0,0,0,0,0,0
D,40,35,30,25,22,19,17,15,0,0,0,0,0,0,0,0
E,25,21,18,15,12,10,0,0,0,0,0,0,0,0,0,0
F,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
